#{"t_start": 1550439762.6509297, "env_id": null}
r,l,t
1.0,20,6.157283
-1.0,100,6.602048
1.0,62,8.895944
-1.0,100,10.265968
-1.0,100,10.674908
-1.0,100,11.979344
1.0,18,12.049304
-1.0,100,13.423718
1.0,64,14.615034
-1.0,100,15.003334
-1.0,100,16.419451
-1.0,100,17.798751
-1.0,100,19.216836
-1.0,100,20.565665
-1.0,100,20.995334
-1.0,100,22.502643
1.0,71,23.744741
1.0,31,23.876368
-1.0,100,25.415069
1.0,77,25.708205
-1.0,100,27.14781
-1.0,100,28.64957
-1.0,100,30.018752
-1.0,100,30.442648
1.0,89,31.801163
-1.0,100,33.218794
1.0,80,34.596796
1.0,30,34.715939
-1.0,100,36.177489
-1.0,100,36.582268
1.0,32,37.714997
-1.0,100,38.184397
-1.0,100,39.626515
-1.0,100,40.956521
1.0,85,42.378021
-1.0,100,42.758332
-1.0,100,44.217052
-1.0,100,45.579441
1.0,10,45.612622
-1.0,100,47.041505
-1.0,100,48.538478
-1.0,100,48.879926
-1.0,100,50.374885
-1.0,100,51.82041
-1.0,100,53.149327
-1.0,100,54.517084
1.0,8,54.554404
1.0,21,54.635828
-1.0,100,55.992777
-1.0,100,56.406137
-1.0,100,57.85586
-1.0,100,59.254572
-1.0,100,60.570352
-1.0,100,60.966512
-1.0,100,62.422388
-1.0,100,63.849974
-1.0,100,65.290262
-1.0,100,66.745646
1.0,97,67.146284
1.0,83,68.568452
-1.0,100,69.99151
-1.0,100,71.382033
-1.0,100,71.783273
-1.0,100,73.24204
-1.0,100,74.727444
-1.0,100,76.075707
-1.0,100,76.460452
1.0,98,77.940623
1.0,27,78.041023
-1.0,100,79.365843
-1.0,100,80.911644
1.0,8,80.939029
1.0,92,82.368467
-1.0,100,83.852204
-1.0,100,84.228714
1.0,23,84.313973
-1.0,100,85.738081
-1.0,100,87.14502
-1.0,100,88.555135
-1.0,100,89.927721
-1.0,100,90.301183
-1.0,100,91.719844
1.0,57,92.956356
1.0,50,93.162008
1.0,18,93.236282
-1.0,100,94.618501
1.0,96,96.078689
-1.0,100,96.470648
-1.0,100,97.967517
1.0,74,99.220329
-1.0,100,100.584013
-1.0,100,100.96922
1.0,97,102.494812
-1.0,100,103.866241
1.0,37,104.0056
-1.0,100,105.35844
-1.0,100,106.815837
-1.0,100,108.422481
1.0,96,108.817285
-1.0,100,110.146759
-1.0,100,111.575972
-1.0,100,112.979525
-1.0,100,113.365599
-1.0,100,114.742411
1.0,17,114.813912
-1.0,100,116.23916
-1.0,100,117.592714
-1.0,100,119.004869
-1.0,100,119.394737
1.0,97,120.880104
1.0,53,122.079334
-1.0,100,122.493013
-1.0,100,123.927987
1.0,88,125.215691
1.0,82,126.543933
1.0,67,126.860961
1.0,96,128.621128
1.0,60,128.851417
-1.0,100,130.173884
-1.0,100,131.526201
1.0,71,131.819043
-1.0,100,133.203239
-1.0,100,134.625508
1.0,57,134.849556
-1.0,100,136.316678
-1.0,100,137.687325
-1.0,100,139.144555
-1.0,100,140.547633
-1.0,100,140.940787
-1.0,100,142.355102
1.0,22,142.441633
1.0,36,143.626691
-1.0,100,143.990316
-1.0,100,145.34279
-1.0,100,146.74262
1.0,57,146.960176
1.0,8,146.991419
1.0,95,148.308371
-1.0,100,149.71518
1.0,34,149.847293
-1.0,100,151.242948
-1.0,100,152.827135
-1.0,100,154.233309
-1.0,100,154.64379
-1.0,100,156.003995
1.0,9,156.040574
-1.0,100,157.45009
-1.0,100,158.828031
1.0,49,159.015531
1.0,83,160.331193
1.0,3,160.342125
-1.0,100,161.701599
1.0,76,162.003323
-1.0,100,163.40524
-1.0,100,164.787663
-1.0,100,165.199374
-1.0,100,166.670472
-1.0,100,167.970847
1.0,69,169.235833
-1.0,100,169.63315
-1.0,100,171.084131
-1.0,100,172.504958
-1.0,100,173.943824
-1.0,100,174.350514
1.0,25,175.447994
-1.0,100,175.917183
-1.0,100,177.411058
-1.0,100,178.76602
1.0,29,178.884336
-1.0,100,180.385682
1.0,23,180.476359
-1.0,100,181.906711
-1.0,100,183.265102
-1.0,100,184.661003
-1.0,100,185.036967
-1.0,100,186.473576
-1.0,100,187.977388
-1.0,100,189.477176
-1.0,100,189.881877
-1.0,100,191.225331
1.0,64,192.541389
1.0,66,192.796809
1.0,57,193.984507
-1.0,100,194.38389
-1.0,100,195.773558
-1.0,100,197.183503
-1.0,100,198.587014
1.0,24,198.677687
-1.0,100,200.115698
-1.0,100,201.48808
1.0,60,201.716307
1.0,63,202.941561
-1.0,100,203.333344
-1.0,100,204.822279
1.0,55,206.004691
-1.0,100,206.397828
-1.0,100,207.859893
-1.0,100,209.30413
-1.0,100,210.796088
1.0,31,210.91484
1.0,16,210.985449
1.0,30,211.119844
-1.0,100,212.475821
1.0,7,212.50279
1.0,35,212.62906
-1.0,100,214.037833
1.0,48,215.188032
1.0,15,215.245415
-1.0,100,215.644964
1.0,25,216.758833
-1.0,100,217.134867
1.0,45,218.250216
1.0,29,218.360997
1.0,34,218.481803
-1.0,100,220.040953
-1.0,100,221.539417
-1.0,100,222.937731
1.0,83,223.266457
-1.0,100,224.641994
1.0,77,225.884804
1.0,50,226.080905
1.0,57,226.328423
-1.0,100,227.756029
-1.0,100,229.128065
