#{"env_id": null, "t_start": 1550428199.5065954}
r,l,t
-1.0,100,4.361469
-1.0,100,6.657384
-1.0,100,7.834104
-1.0,100,9.060506
-1.0,100,9.401675
-1.0,100,10.555985
1.0,18,10.613338
-1.0,100,11.768526
-1.0,100,13.056655
-1.0,100,14.199043
-1.0,100,14.535336
1.0,48,15.617793
1.0,28,15.712176
-1.0,100,17.27812
-1.0,100,18.53747
-1.0,100,18.8723
-1.0,100,20.01676
-1.0,100,21.304732
-1.0,100,22.550615
-1.0,100,23.800901
-1.0,100,24.153408
-1.0,100,25.530159
-1.0,100,26.740586
-1.0,100,27.952138
-1.0,100,28.278959
-1.0,100,29.545536
1.0,13,29.589672
-1.0,100,31.150331
-1.0,100,32.381314
1.0,86,33.543834
1.0,55,33.729897
1.0,43,33.871771
-1.0,100,35.081968
-1.0,100,36.359713
1.0,47,36.537623
-1.0,100,37.862128
-1.0,100,39.124043
-1.0,100,40.473694
-1.0,100,40.815449
-1.0,100,42.012425
-1.0,100,43.362582
-1.0,100,44.608802
-1.0,100,44.922869
-1.0,100,46.131306
-1.0,100,47.349163
-1.0,100,48.590403
1.0,99,49.860301
-1.0,100,50.202801
-1.0,100,51.547557
-1.0,100,52.816819
-1.0,100,54.061039
-1.0,100,55.257121
1.0,60,55.471297
-1.0,100,56.72515
1.0,35,56.8495
-1.0,100,58.047863
-1.0,100,59.362846
-1.0,100,59.713297
1.0,50,60.751599
-1.0,100,61.970475
-1.0,100,62.324757
-1.0,100,63.610572
-1.0,100,64.849819
-1.0,100,66.109654
-1.0,100,66.441553
-1.0,100,67.671962
1.0,39,68.684362
-1.0,100,69.029377
1.0,61,70.163825
-1.0,100,71.364566
-1.0,100,71.720015
-1.0,100,72.949242
-1.0,100,74.192849
-1.0,100,75.444499
-1.0,100,75.818077
-1.0,100,77.067115
1.0,26,77.156277
1.0,79,78.340889
-1.0,100,79.579525
-1.0,100,80.796866
1.0,28,80.89681
-1.0,100,82.067293
1.0,79,82.331877
-1.0,100,83.605064
-1.0,100,84.811272
-1.0,100,86.096551
-1.0,100,86.440705
-1.0,100,87.651545
-1.0,100,88.859938
-1.0,100,90.0921
1.0,100,91.33295
-1.0,100,91.641996
1.0,43,92.650912
1.0,82,92.924907
1.0,45,93.981865
-1.0,100,94.293914
-1.0,100,95.546872
1.0,43,96.572348
-1.0,100,96.914793
-1.0,100,98.20293
-1.0,100,99.388485
-1.0,100,100.596297
-1.0,100,100.945776
1.0,19,101.901117
-1.0,100,102.250523
1.0,53,103.309821
1.0,45,103.479997
1.0,13,103.528648
-1.0,100,104.802906
-1.0,100,106.115604
-1.0,100,107.448727
-1.0,100,107.791892
-1.0,100,109.005565
1.0,35,109.13254
-1.0,100,110.379313
-1.0,100,111.590869
-1.0,100,112.796164
-1.0,100,114.097167
1.0,10,114.135196
1.0,41,114.268291
-1.0,100,115.50628
1.0,61,115.694976
1.0,9,115.724894
-1.0,100,116.998215
1.0,10,117.03412
-1.0,100,118.345909
-1.0,100,119.588696
-1.0,100,119.902118
1.0,18,120.885218
-1.0,100,121.215313
-1.0,100,122.462236
-1.0,100,123.71143
1.0,18,123.771785
-1.0,100,125.021369
-1.0,100,126.277226
-1.0,100,126.626194
-1.0,100,127.840947
1.0,24,127.922051
-1.0,100,129.106137
-1.0,100,130.316295
-1.0,100,131.6026
-1.0,100,132.900148
-1.0,100,133.237686
-1.0,100,134.517207
-1.0,100,135.705252
