#{"t_start": 1550432567.2284741, "env_id": null}
r,l,t
-1.0,100,5.936665
1.0,8,5.975147
-1.0,100,8.394495
-1.0,100,9.795161
1.0,100,11.154233
1.0,60,11.391735
1.0,19,11.467027
-1.0,100,12.904104
-1.0,100,14.554074
-1.0,100,15.930756
-1.0,100,16.30882
-1.0,100,17.638106
-1.0,100,19.098654
-1.0,100,20.460394
-1.0,100,21.840496
-1.0,100,22.255448
-1.0,100,23.671156
-1.0,100,25.072665
-1.0,100,26.528528
1.0,82,26.872871
-1.0,100,28.279443
-1.0,100,29.650176
-1.0,100,31.071313
1.0,27,31.181906
-1.0,100,32.557497
-1.0,100,32.983118
-1.0,100,34.368861
1.0,91,35.747258
-1.0,100,37.241622
-1.0,100,37.638391
-1.0,100,39.028328
-1.0,100,40.372769
-1.0,100,41.914988
-1.0,100,43.237184
-1.0,100,43.603068
-1.0,100,44.942539
1.0,26,45.046954
-1.0,100,46.515081
-1.0,100,47.915331
-1.0,100,49.254543
-1.0,100,50.651365
1.0,88,50.991138
-1.0,100,52.315759
-1.0,100,53.689492
-1.0,100,55.020171
-1.0,100,55.413604
-1.0,100,56.849679
1.0,83,58.24813
-1.0,100,59.587429
-1.0,100,60.007872
-1.0,100,61.338105
-1.0,100,62.668088
1.0,34,62.797245
-1.0,100,64.187083
-1.0,100,65.617408
-1.0,100,65.990879
-1.0,100,67.261838
-1.0,100,68.654389
-1.0,100,69.995244
-1.0,100,71.37615
1.0,79,71.681168
1.0,5,71.702107
-1.0,100,73.054643
-1.0,100,74.405606
-1.0,100,75.786319
1.0,76,76.103707
-1.0,100,77.489136
-1.0,100,78.86153
-1.0,100,80.196259
-1.0,100,80.602674
-1.0,100,81.944846
1.0,28,82.074181
-1.0,100,83.494585
-1.0,100,84.82684
1.0,92,86.162541
-1.0,100,86.582286
-1.0,100,87.914795
1.0,22,87.996613
-1.0,100,89.294032
-1.0,100,90.662086
-1.0,100,92.07178
1.0,88,92.434284
-1.0,100,93.865128
-1.0,100,95.286683
1.0,57,95.506284
-1.0,100,96.831529
1.0,40,96.99058
1.0,30,98.092459
1.0,17,98.156986
-1.0,100,99.551887
-1.0,100,99.964852
-1.0,100,101.485381
-1.0,100,102.875812
-1.0,100,104.258075
-1.0,100,105.666783
-1.0,100,106.078542
-1.0,100,107.490933
-1.0,100,108.802568
-1.0,100,110.200755
-1.0,100,110.596499
-1.0,100,111.984986
-1.0,100,113.394218
-1.0,100,114.782442
-1.0,100,116.173049
-1.0,100,116.59904
-1.0,100,118.141614
-1.0,100,119.50669
-1.0,100,120.895477
-1.0,100,121.273504
-1.0,100,122.66807
-1.0,100,124.062263
-1.0,100,125.490581
-1.0,100,127.078547
-1.0,100,127.570248
1.0,34,128.641962
-1.0,100,129.031421
1.0,67,130.214031
-1.0,100,131.553552
-1.0,100,132.858002
1.0,13,132.912058
1.0,12,132.960071
-1.0,100,133.387185
-1.0,100,134.665242
1.0,17,134.74682
1.0,31,135.820073
1.0,51,136.027989
-1.0,100,137.360029
1.0,3,137.374298
-1.0,100,138.795545
1.0,17,138.869462
-1.0,100,140.236838
-1.0,100,140.631639
-1.0,100,141.922214
1.0,59,143.063884
-1.0,100,143.482305
-1.0,100,144.824715
-1.0,100,146.258566
1.0,79,147.603157
-1.0,100,147.997157
1.0,29,149.08795
-1.0,100,149.485296
1.0,70,150.778182
-1.0,100,152.116234
-1.0,100,152.504299
-1.0,100,153.851003
-1.0,100,155.209688
1.0,32,155.331687
-1.0,100,156.672607
-1.0,100,158.10656
-1.0,100,159.450781
-1.0,100,159.844333
-1.0,100,161.236111
-1.0,100,162.55467
-1.0,100,163.834849
-1.0,100,164.202508
-1.0,100,165.5815
-1.0,100,166.876293
1.0,25,166.970292
-1.0,100,168.29846
-1.0,100,169.661023
1.0,64,169.90636
-1.0,100,171.23544
-1.0,100,172.688251
-1.0,100,174.058156
1.0,38,174.220057
-1.0,100,175.512566
-1.0,100,176.848488
1.0,7,176.88217
-1.0,100,177.282044
-1.0,100,178.629477
1.0,14,178.689819
-1.0,100,180.091566
-1.0,100,181.4697
-1.0,100,182.812481
-1.0,100,183.177526
-1.0,100,184.589695
1.0,31,184.710054
-1.0,100,186.106676
-1.0,100,187.438985
-1.0,100,188.705504
1.0,43,188.875544
-1.0,100,190.182386
-1.0,100,191.51157
-1.0,100,191.899558
1.0,21,193.000322
1.0,81,193.306271
-1.0,100,194.633995
-1.0,100,195.946709
1.0,18,196.013446
-1.0,100,197.438188
1.0,79,197.741642
-1.0,100,199.07314
-1.0,100,200.391018
1.0,43,200.557056
-1.0,100,201.89852
1.0,22,201.979891
-1.0,100,203.317071
1.0,13,203.367554
-1.0,100,204.813294
-1.0,100,206.160301
-1.0,100,206.554944
-1.0,100,207.859831
-1.0,100,209.254015
1.0,69,209.52404
-1.0,100,210.888534
-1.0,100,212.234777
-1.0,100,213.623861
-1.0,100,214.925449
-1.0,100,215.306755
-1.0,100,216.668666
-1.0,100,217.999186
-1.0,100,219.331992
-1.0,100,220.740489
-1.0,100,221.162699
1.0,23,221.259268
-1.0,100,222.624489
-1.0,100,223.953309
1.0,55,224.158702
-1.0,100,225.516536
-1.0,100,226.839468
-1.0,100,228.196915
-1.0,100,229.533294
1.0,24,229.631504
-1.0,100,230.96458
1.0,45,231.153769
-1.0,100,232.469257
-1.0,100,232.869247
-1.0,100,234.214999
1.0,70,235.411384
-1.0,100,236.738434
-1.0,100,237.129383
-1.0,100,238.466381
1.0,27,238.577828
1.0,74,239.836969
-1.0,100,241.179269
-1.0,100,241.583393
-1.0,100,242.967863
-1.0,100,244.321647
-1.0,100,245.66791
-1.0,100,247.004577
1.0,54,247.204013
-1.0,100,248.557611
-1.0,100,249.906778
-1.0,100,250.276478
-1.0,100,251.609643
-1.0,100,252.932004
-1.0,100,254.288323
-1.0,100,255.682722
-1.0,100,256.072429
-1.0,100,257.418557
-1.0,100,258.745477
-1.0,100,260.099039
-1.0,100,260.490277
1.0,87,261.787192
-1.0,100,263.176434
-1.0,100,264.522448
-1.0,100,264.944304
1.0,9,265.966164
1.0,93,266.33069
1.0,76,267.612505
1.0,35,267.748263
-1.0,100,269.108169
1.0,40,269.267296
1.0,26,269.374023
-1.0,100,270.712279
-1.0,100,272.180044
-1.0,100,273.519505
-1.0,100,274.86131
-1.0,100,275.248687
-1.0,100,276.538447
1.0,76,277.773708
-1.0,100,278.145657
-1.0,100,279.471412
-1.0,100,280.838238
1.0,82,282.115227
1.0,36,282.256187
-1.0,100,283.564595
-1.0,100,285.085747
1.0,68,285.359872
1.0,57,285.575111
-1.0,100,286.92029
1.0,47,288.108506
-1.0,100,288.490217
-1.0,100,289.929914
-1.0,100,291.277692
1.0,37,291.416354
-1.0,100,292.841835
-1.0,100,294.228763
-1.0,100,295.559269
-1.0,100,295.955609
1.0,12,296.003638
1.0,20,297.059704
-1.0,100,297.474076
1.0,29,298.527725
-1.0,100,298.928715
-1.0,100,300.297162
-1.0,100,301.648987
-1.0,100,303.002702
-1.0,100,304.368323
1.0,44,304.539066
-1.0,100,305.899615
-1.0,100,306.311085
1.0,39,307.411341
1.0,31,307.533671
1.0,56,307.751129
-1.0,100,309.165016
1.0,12,309.213067
-1.0,100,310.587187
1.0,93,311.869558
1.0,27,311.969975
1.0,35,312.105857
-1.0,100,313.434746
-1.0,100,314.921427
1.0,31,315.049025
1.0,20,315.134532
-1.0,100,316.545512
-1.0,100,317.922499
-1.0,100,319.252972
-1.0,100,319.642843
-1.0,100,320.953023
1.0,88,322.251926
-1.0,100,323.603653
-1.0,100,323.997858
-1.0,100,325.368551
1.0,72,326.614117
-1.0,100,327.928395
1.0,96,328.308329
-1.0,100,329.681038
-1.0,100,331.032809
1.0,93,332.377501
-1.0,100,332.780508
-1.0,100,334.176608
1.0,5,334.198488
-1.0,100,335.506742
1.0,23,335.601459
1.0,75,336.857064
1.0,41,337.029069
1.0,36,337.175762
-1.0,100,338.549033
1.0,45,338.736343
-1.0,100,340.119158
1.0,28,340.227969
-1.0,100,341.544008
-1.0,100,342.811013
-1.0,100,344.179261
-1.0,100,345.516603
-1.0,100,345.895946
-1.0,100,347.225871
1.0,93,348.579321
-1.0,100,349.947634
-1.0,100,350.337577
-1.0,100,351.644344
-1.0,100,352.956709
1.0,15,353.018632
-1.0,100,354.364413
-1.0,100,355.6935
-1.0,100,356.062163
-1.0,100,357.429457
1.0,34,358.602872
-1.0,100,359.001794
1.0,44,360.171037
-1.0,100,360.588099
1.0,38,361.68526
-1.0,100,363.019311
-1.0,100,363.40327
-1.0,100,364.739357
-1.0,100,366.133857
-1.0,100,367.506262
-1.0,100,367.875775
-1.0,100,369.221101
-1.0,100,370.631665
-1.0,100,371.929583
-1.0,100,373.290605
-1.0,100,373.663215
1.0,73,374.888798
-1.0,100,376.225853
1.0,9,376.265164
-1.0,100,377.636963
1.0,96,378.019038
1.0,43,379.167397
1.0,15,379.224844
-1.0,100,380.537864
1.0,40,380.683475
-1.0,100,382.034167
-1.0,100,382.407764
-1.0,100,383.759083
-1.0,100,385.102898
1.0,12,385.151615
1.0,85,386.380532
-1.0,100,386.786458
-1.0,100,388.157164
