#{"env_id": null, "t_start": 1550439769.0004106}
r,l,t
-1.0,100,6.077292
-1.0,100,8.37525
-1.0,100,9.71607
-1.0,100,11.072227
1.0,39,11.238443
1.0,29,11.355629
-1.0,100,12.766281
-1.0,100,14.237773
1.0,12,14.291478
-1.0,100,15.693683
-1.0,100,16.09065
-1.0,100,17.570727
-1.0,100,18.980852
-1.0,100,20.489428
-1.0,100,20.899282
-1.0,100,22.353777
-1.0,100,23.816746
-1.0,100,25.274755
-1.0,100,26.707279
1.0,50,26.914146
-1.0,100,28.447608
-1.0,100,29.93742
1.0,48,30.133022
-1.0,100,31.574677
1.0,27,31.698788
-1.0,100,33.145505
-1.0,100,34.569974
1.0,61,34.802641
-1.0,100,36.226998
1.0,78,36.547872
-1.0,100,38.100213
1.0,43,38.264115
-1.0,100,39.820634
-1.0,100,41.213802
1.0,64,42.520317
1.0,25,42.6247
1.0,83,42.967998
1.0,54,44.214193
-1.0,100,45.628337
-1.0,100,46.033857
1.0,67,47.308504
-1.0,100,48.689024
-1.0,100,49.110812
-1.0,100,50.60665
-1.0,100,52.089202
-1.0,100,53.491778
-1.0,100,54.907221
1.0,24,54.999705
-1.0,100,56.400679
1.0,41,56.553861
-1.0,100,57.951067
-1.0,100,58.364875
-1.0,100,59.804083
-1.0,100,61.197452
-1.0,100,62.663465
-1.0,100,64.098674
-1.0,100,64.515459
-1.0,100,65.885937
-1.0,100,67.346627
-1.0,100,68.7683
-1.0,100,69.179678
1.0,13,70.28132
-1.0,100,70.699253
1.0,38,71.82652
-1.0,100,72.248932
1.0,76,73.544963
1.0,78,74.837929
1.0,42,75.000049
-1.0,100,76.393348
1.0,21,76.479143
-1.0,100,78.021034
1.0,37,78.166042
-1.0,100,79.677346
1.0,89,80.034908
1.0,10,81.09103
-1.0,100,81.504472
-1.0,100,82.900782
-1.0,100,84.303841
-1.0,100,85.721089
1.0,16,85.788995
-1.0,100,87.139463
1.0,29,87.259993
1.0,100,88.680891
1.0,13,88.732904
1.0,42,88.911119
-1.0,100,90.416682
-1.0,100,91.956089
-1.0,100,92.361229
-1.0,100,93.791665
-1.0,100,95.221754
-1.0,100,96.593787
1.0,55,96.830744
1.0,25,96.93764
-1.0,100,98.367768
-1.0,100,99.758739
-1.0,100,101.153975
-1.0,100,101.558453
1.0,35,102.640379
-1.0,100,103.052824
-1.0,100,104.521772
-1.0,100,105.996931
1.0,67,107.307624
1.0,82,107.639407
-1.0,100,109.113199
1.0,31,109.24683
-1.0,100,110.860301
1.0,22,110.956507
-1.0,100,112.387901
1.0,21,112.479639
1.0,16,112.55649
-1.0,100,114.025007
-1.0,100,115.415425
-1.0,100,116.916306
1.0,52,117.111738
-1.0,100,118.572617
1.0,12,118.629011
-1.0,100,120.019159
-1.0,100,120.506059
-1.0,100,122.356451
-1.0,100,123.803998
-1.0,100,125.261086
-1.0,100,126.645491
1.0,77,126.960353
1.0,53,128.191779
-1.0,100,128.614748
-1.0,100,130.119319
-1.0,100,131.535967
-1.0,100,133.014166
-1.0,100,134.487309
1.0,39,134.669688
-1.0,100,136.141409
1.0,49,136.350094
-1.0,100,137.83632
-1.0,100,139.276946
1.0,76,139.597058
1.0,28,139.716003
-1.0,100,141.21608
-1.0,100,142.618743
1.0,88,143.976912
1.0,29,144.101506
-1.0,100,145.564397
1.0,83,145.924501
1.0,53,147.271564
-1.0,100,147.714481
1.0,76,149.13028
-1.0,100,150.541778
1.0,15,150.606243
-1.0,100,152.058694
1.0,42,152.234544
1.0,17,152.306197
1.0,75,153.60833
-1.0,100,155.12513
1.0,97,155.538815
-1.0,100,157.138182
1.0,33,157.283838
-1.0,100,158.668993
-1.0,100,160.148083
1.0,61,160.400738
1.0,24,161.582428
-1.0,100,161.989094
1.0,5,162.01291
-1.0,100,163.450501
1.0,7,163.481403
1.0,19,163.557869
-1.0,100,165.052426
-1.0,100,166.452295
-1.0,100,167.877789
-1.0,100,169.318332
-1.0,100,169.716446
1.0,48,170.937111
-1.0,100,171.343345
1.0,81,172.69132
1.0,5,172.711133
1.0,24,172.813594
1.0,51,173.994522
-1.0,100,174.409089
1.0,70,175.871926
1.0,20,175.956263
-1.0,100,177.406935
-1.0,100,178.854052
1.0,35,179.001342
-1.0,100,180.502931
1.0,93,181.912247
-1.0,100,182.348022
-1.0,100,183.899867
-1.0,100,185.448418
1.0,43,185.631496
1.0,26,185.746311
1.0,51,187.027861
1.0,22,187.115518
1.0,39,187.269315
1.0,43,188.493567
-1.0,100,188.900071
-1.0,100,190.244417
1.0,17,190.309516
1.0,22,190.407664
-1.0,100,191.927482
1.0,84,193.280106
1.0,21,193.371593
-1.0,100,194.809386
1.0,14,194.865532
1.0,38,195.028257
1.0,18,195.106003
1.0,83,196.526444
1.0,39,196.685439
1.0,37,197.862775
-1.0,100,198.275855
-1.0,100,199.803144
-1.0,100,201.229889
-1.0,100,202.576183
1.0,32,202.700003
1.0,54,202.927413
-1.0,100,204.349472
-1.0,100,205.729558
-1.0,100,207.147252
1.0,47,207.327348
-1.0,100,208.758168
1.0,5,208.780913
-1.0,100,210.127601
1.0,15,210.187958
1.0,79,211.527091
1.0,55,211.765583
-1.0,100,213.288817
1.0,94,213.679839
-1.0,100,215.099627
1.0,58,216.370429
-1.0,100,216.777798
-1.0,100,218.244938
1.0,8,218.28297
-1.0,100,219.692496
-1.0,100,221.101584
1.0,53,221.316546
-1.0,100,222.688743
1.0,71,224.135163
-1.0,100,224.55351
1.0,80,225.875217
1.0,72,227.270676
1.0,91,227.655432
-1.0,100,229.233944
-1.0,100,230.708518
1.0,24,230.811494
1.0,58,232.064095
-1.0,100,232.482756
-1.0,100,233.880181
1.0,98,235.329739
-1.0,100,236.784622
1.0,52,237.010953
-1.0,100,238.452958
1.0,66,238.739776
-1.0,100,240.209022
-1.0,100,241.659537
-1.0,100,243.123342
-1.0,100,243.544445
-1.0,100,244.943806
-1.0,100,246.39082
1.0,75,247.686675
-1.0,100,248.120771
1.0,35,249.196701
-1.0,100,249.634787
1.0,60,250.922353
-1.0,100,252.447622
1.0,45,252.641437
1.0,27,252.751158
-1.0,100,254.158477
1.0,8,254.190478
-1.0,100,255.710649
-1.0,100,257.251969
-1.0,100,257.676991
-1.0,100,259.15512
-1.0,100,260.687161
1.0,22,260.785296
-1.0,100,262.21945
-1.0,100,263.657893
-1.0,100,265.151049
-1.0,100,265.580563
1.0,40,266.788979
1.0,13,266.847495
-1.0,100,267.267973
-1.0,100,268.688034
-1.0,100,270.170408
-1.0,100,271.636863
-1.0,100,273.068572
-1.0,100,273.493601
-1.0,100,274.985571
-1.0,100,276.550363
-1.0,100,278.004723
-1.0,100,279.465812
-1.0,100,279.885479
-1.0,100,281.30733
-1.0,100,282.814013
-1.0,100,284.173566
-1.0,100,284.594177
1.0,17,285.650529
-1.0,100,286.067315
-1.0,100,287.527692
1.0,37,287.684129
1.0,47,288.946759
-1.0,100,290.37945
1.0,19,290.466158
1.0,87,290.816172
-1.0,100,292.216525
-1.0,100,293.65368
1.0,23,293.749756
-1.0,100,295.250793
-1.0,100,296.688769
1.0,21,296.78118
-1.0,100,298.262279
-1.0,100,298.658997
1.0,25,299.731419
-1.0,100,300.133587
-1.0,100,301.61902
-1.0,100,303.12474
1.0,12,303.174397
1.0,11,303.222145
-1.0,100,304.699038
-1.0,100,306.1349
-1.0,100,306.553737
-1.0,100,307.961809
-1.0,100,309.469364
-1.0,100,310.917805
-1.0,100,312.376872
1.0,55,312.608895
-1.0,100,314.003273
-1.0,100,315.348526
-1.0,100,315.766279
-1.0,100,317.290525
-1.0,100,318.677988
1.0,15,318.739925
1.0,42,318.915524
1.0,41,320.027572
-1.0,100,320.417685
1.0,9,321.454723
-1.0,100,321.855116
-1.0,100,323.231618
-1.0,100,324.648613
1.0,14,324.711085
1.0,59,324.958394
-1.0,100,326.465366
1.0,30,326.589489
-1.0,100,328.147976
-1.0,100,329.582048
-1.0,100,330.963438
1.0,5,330.983846
-1.0,100,332.420392
1.0,91,332.794481
-1.0,100,334.261391
-1.0,100,335.620308
1.0,73,335.92671
-1.0,100,337.374989
-1.0,100,338.795757
-1.0,100,340.241858
1.0,82,340.605748
-1.0,100,342.059263
1.0,68,343.432617
-1.0,100,344.882872
-1.0,100,345.306502
-1.0,100,346.698732
1.0,71,348.087857
-1.0,100,348.519311
-1.0,100,350.006078
-1.0,100,351.430945
-1.0,100,352.977422
-1.0,100,354.380316
-1.0,100,354.807494
1.0,16,354.883397
-1.0,100,356.487371
1.0,16,356.559704
1.0,34,357.686208
-1.0,100,358.108645
1.0,48,359.367738
-1.0,100,360.76193
-1.0,100,361.197579
-1.0,100,362.75284
-1.0,100,364.17868
1.0,15,364.247097
1.0,44,364.438303
-1.0,100,365.848709
1.0,62,367.215537
-1.0,100,367.630934
1.0,15,368.782383
1.0,57,369.017563
1.0,60,369.258097
1.0,51,370.491005
-1.0,100,371.980951
-1.0,100,372.389401
-1.0,100,373.830998
1.0,47,375.023502
1.0,97,375.435856
-1.0,100,376.897625
-1.0,100,378.311115
-1.0,100,379.735854
-1.0,100,380.134095
