#{"t_start": 1550439735.384716, "env_id": null}
r,l,t
1.0,22,5.502972
-1.0,100,5.901725
-1.0,100,8.263139
-1.0,100,9.684948
1.0,36,9.838383
-1.0,100,11.258929
-1.0,100,12.69417
-1.0,100,14.161254
1.0,15,14.223392
-1.0,100,15.583551
1.0,30,15.704967
1.0,45,15.887101
1.0,16,15.949377
1.0,31,16.069947
-1.0,100,17.510123
-1.0,100,18.923798
-1.0,100,20.257075
-1.0,100,21.620756
-1.0,100,22.021101
-1.0,100,23.406776
-1.0,100,24.908025
-1.0,100,26.442296
1.0,43,26.61499
-1.0,100,28.048625
1.0,67,28.311944
-1.0,100,30.051969
1.0,10,30.093587
-1.0,100,31.492872
1.0,61,31.752702
-1.0,100,33.11931
1.0,26,33.225188
-1.0,100,34.806928
1.0,76,36.254869
-1.0,100,37.616468
-1.0,100,38.022614
-1.0,100,39.525014
-1.0,100,40.990518
-1.0,100,42.423335
1.0,25,42.520106
1.0,14,42.577325
-1.0,100,43.968039
1.0,10,44.012876
-1.0,100,45.475288
-1.0,100,45.887852
-1.0,100,47.298839
1.0,24,47.40293
-1.0,100,48.95503
-1.0,100,50.358863
-1.0,100,51.79532
-1.0,100,53.23605
-1.0,100,53.659984
1.0,24,54.795388
-1.0,100,55.234419
-1.0,100,56.698204
1.0,50,58.037395
1.0,10,58.080498
-1.0,100,58.495495
-1.0,100,59.928629
-1.0,100,61.33927
-1.0,100,62.763023
-1.0,100,63.173273
-1.0,100,64.631303
-1.0,100,66.043198
-1.0,100,67.608633
-1.0,100,69.002062
1.0,12,69.052083
-1.0,100,69.469963
-1.0,100,70.868564
1.0,17,70.939048
-1.0,100,72.327255
-1.0,100,73.8833
1.0,15,73.943413
1.0,39,74.101372
-1.0,100,75.60952
1.0,80,76.906106
-1.0,100,78.379099
-1.0,100,78.7798
-1.0,100,80.205502
-1.0,100,81.63318
1.0,6,81.662502
1.0,18,81.738049
-1.0,100,83.226578
1.0,83,84.542763
1.0,11,84.5918
-1.0,100,84.99394
-1.0,100,86.454824
1.0,10,86.492585
-1.0,100,87.979608
-1.0,100,89.420774
-1.0,100,90.904646
-1.0,100,91.316126
-1.0,100,92.695875
-1.0,100,94.074908
-1.0,100,95.503793
1.0,64,95.771611
-1.0,100,97.199674
-1.0,100,98.594723
-1.0,100,100.03681
1.0,100,100.435653
-1.0,100,101.839796
-1.0,100,103.326548
1.0,86,104.696331
1.0,25,104.822616
-1.0,100,106.249572
-1.0,100,106.655801
-1.0,100,108.040066
-1.0,100,109.412085
-1.0,100,110.804377
-1.0,100,111.204469
-1.0,100,112.608504
1.0,88,113.980025
1.0,77,115.326311
-1.0,100,115.744221
-1.0,100,117.240357
