#{"t_start": 1550430324.7226007, "env_id": null}
r,l,t
-1.0,100,5.139542
-1.0,100,7.367084
1.0,37,7.506638
1.0,60,8.660705
1.0,59,8.869182
1.0,84,10.173725
-1.0,100,11.413697
-1.0,100,11.766187
-1.0,100,13.0112
1.0,69,14.170709
-1.0,100,15.391335
1.0,98,15.769883
-1.0,100,17.077907
-1.0,100,18.36194
1.0,39,18.524354
-1.0,100,19.794186
-1.0,100,21.030479
-1.0,100,22.301096
-1.0,100,22.666284
-1.0,100,23.971821
1.0,29,24.107619
-1.0,100,25.553527
1.0,63,26.761162
-1.0,100,27.139288
-1.0,100,28.432843
-1.0,100,29.615764
1.0,66,29.872725
-1.0,100,31.180064
1.0,48,32.327136
1.0,80,32.633084
1.0,10,32.667723
1.0,34,33.771217
-1.0,100,34.137765
-1.0,100,35.426851
-1.0,100,36.728561
1.0,59,36.938332
-1.0,100,38.317863
-1.0,100,39.567717
-1.0,100,40.827129
1.0,34,40.940805
-1.0,100,42.177885
-1.0,100,43.368209
-1.0,100,43.695173
1.0,5,43.710459
1.0,76,44.929648
-1.0,100,46.177396
-1.0,100,47.419669
-1.0,100,47.812753
-1.0,100,49.041279
-1.0,100,50.292493
-1.0,100,51.678844
1.0,23,51.767316
-1.0,100,53.063061
-1.0,100,53.467221
-1.0,100,54.746005
-1.0,100,55.992645
-1.0,100,57.304045
1.0,54,57.508424
-1.0,100,58.88605
-1.0,100,60.153557
-1.0,100,61.353599
1.0,71,61.594632
-1.0,100,62.815926
1.0,67,63.044006
-1.0,100,64.297357
-1.0,100,65.571296
-1.0,100,66.896844
1.0,66,67.1456
1.0,9,67.179665
-1.0,100,68.419911
-1.0,100,69.758705
1.0,26,69.847419
-1.0,100,71.086236
-1.0,100,72.344038
1.0,27,72.447146
-1.0,100,73.733065
1.0,48,73.90384
-1.0,100,75.203031
1.0,34,75.351959
-1.0,100,76.618836
-1.0,100,77.893803
-1.0,100,78.272603
1.0,65,79.431927
1.0,14,79.482818
1.0,15,79.535387
1.0,22,79.611517
-1.0,100,80.924945
1.0,61,81.997744
-1.0,100,82.358132
-1.0,100,83.673032
1.0,12,83.718959
1.0,21,83.799844
-1.0,100,85.007118
