#{"t_start": 1550435069.3031995, "env_id": null}
r,l,t
1.0,52,266.086661
-1.0,100,267.508313
-1.0,100,268.865294
-1.0,100,270.389141
1.0,10,270.427762
1.0,42,270.594956
-1.0,100,272.041075
1.0,62,272.282378
-1.0,100,273.670687
-1.0,100,275.018207
-1.0,100,276.405557
1.0,19,276.500772
1.0,28,276.613748
-1.0,100,278.030489
-1.0,100,279.351991
-1.0,100,280.731367
-1.0,100,281.092867
-1.0,100,282.456013
-1.0,100,283.871062
-1.0,100,285.24749
-1.0,100,285.668711
1.0,43,286.809187
1.0,21,286.896277
-1.0,100,288.484461
1.0,84,288.815529
-1.0,100,290.16201
1.0,29,290.265552
1.0,94,291.674352
1.0,30,291.790248
1.0,16,291.861916
-1.0,100,293.264578
1.0,59,294.37783
1.0,12,294.427085
-1.0,100,295.780292
1.0,90,296.138019
-1.0,100,297.45056
-1.0,100,298.76292
1.0,31,298.892337
1.0,45,299.091318
-1.0,100,300.454264
-1.0,100,301.827724
1.0,53,302.016885
-1.0,100,303.31424
-1.0,100,304.806841
-1.0,100,306.143992
-1.0,100,307.571602
-1.0,100,307.963668
-1.0,100,309.288543
1.0,73,310.585811
-1.0,100,310.98685
1.0,45,312.118732
-1.0,100,313.522061
-1.0,100,313.920883
1.0,89,315.291039
1.0,40,315.428135
1.0,47,316.599199
1.0,27,316.71252
1.0,97,318.104205
1.0,29,318.225569
-1.0,100,319.779896
1.0,51,319.992982
1.0,23,320.097221
-1.0,100,321.53229
1.0,86,322.846258
-1.0,100,324.327986
1.0,33,324.452076
1.0,33,324.595336
1.0,100,326.063204
1.0,33,326.193638
1.0,27,326.301527
1.0,29,327.403115
-1.0,100,327.788814
-1.0,100,329.256208
-1.0,100,330.584788
-1.0,100,331.987604
-1.0,100,332.371499
-1.0,100,333.76782
1.0,65,335.094398
1.0,9,335.134496
-1.0,100,336.459299
1.0,65,336.71295
-1.0,100,338.020938
-1.0,100,339.319067
-1.0,100,339.748649
1.0,55,340.968904
-1.0,100,342.372964
1.0,73,342.649095
-1.0,100,343.960001
1.0,57,344.201542
1.0,42,345.312229
1.0,31,345.431742
1.0,66,346.613873
1.0,87,346.944667
1.0,83,348.293781
-1.0,100,349.768985
1.0,19,349.842494
1.0,93,351.166241
-1.0,100,351.58453
-1.0,100,353.017933
1.0,68,354.263154
-1.0,100,354.665524
-1.0,100,356.096467
-1.0,100,357.458833
-1.0,100,358.884102
1.0,98,360.224931
1.0,46,360.424803
-1.0,100,361.795904
-1.0,100,362.211277
-1.0,100,363.645555
1.0,49,364.836247
-1.0,100,365.259678
1.0,17,366.262053
-1.0,100,366.693707
-1.0,100,368.125137
-1.0,100,369.504719
1.0,80,369.835907
-1.0,100,371.22016
-1.0,100,372.644612
1.0,74,374.0456
-1.0,100,374.449737
1.0,27,375.536402
-1.0,100,375.9462
-1.0,100,377.298103
1.0,41,377.456254
1.0,15,378.451591
1.0,11,378.491418
-1.0,100,378.88617
-1.0,100,380.303875
1.0,48,381.452778
1.0,14,381.505187
1.0,33,381.647057
1.0,32,381.779851
-1.0,100,383.213215
1.0,14,383.271238
1.0,29,383.398026
1.0,42,384.489535
1.0,100,384.880742
1.0,5,386.011341
-1.0,100,386.417755
-1.0,100,387.76652
1.0,18,387.838284
-1.0,100,389.221005
1.0,19,389.304282
-1.0,100,390.723929
1.0,17,390.801171
1.0,10,390.843989
1.0,16,390.90485
-1.0,100,392.260208
1.0,41,392.430362
1.0,69,393.684688
-1.0,100,395.076269
1.0,5,395.096152
-1.0,100,396.396389
1.0,15,396.452297
