#{"env_id": null, "t_start": 1550437310.3536515}
r,l,t
-1.0,100,6.035649
-1.0,100,8.585428
-1.0,100,10.172685
1.0,65,10.453701
1.0,55,11.754262
-1.0,100,13.215044
1.0,12,13.263076
-1.0,100,13.719442
-1.0,100,15.049028
-1.0,100,16.558222
-1.0,100,18.09425
-1.0,100,19.463529
-1.0,100,19.847816
-1.0,100,21.294842
-1.0,100,22.819196
1.0,55,23.031198
-1.0,100,24.481279
-1.0,100,25.993792
-1.0,100,27.463852
-1.0,100,27.848414
-1.0,100,29.289449
-1.0,100,30.656778
-1.0,100,32.06121
-1.0,100,33.543511
-1.0,100,33.946607
-1.0,100,35.456024
1.0,23,35.546059
-1.0,100,37.130722
-1.0,100,38.635926
-1.0,100,40.063165
-1.0,100,40.480201
-1.0,100,41.900154
-1.0,100,43.309472
-1.0,100,44.752149
-1.0,100,46.174642
1.0,58,46.412549
-1.0,100,47.901754
-1.0,100,49.377516
-1.0,100,49.796093
1.0,51,51.055366
-1.0,100,52.521247
1.0,40,52.680484
-1.0,100,54.020864
-1.0,100,54.423732
-1.0,100,55.836241
-1.0,100,57.245229
-1.0,100,58.657134
-1.0,100,60.034719
-1.0,100,60.46011
-1.0,100,61.861755
-1.0,100,63.262282
1.0,58,63.501255
1.0,60,64.713681
-1.0,100,66.152251
1.0,60,66.407879
-1.0,100,67.823348
-1.0,100,69.324024
-1.0,100,69.755419
-1.0,100,71.145758
-1.0,100,72.657788
-1.0,100,74.092921
-1.0,100,75.558851
1.0,74,75.883507
-1.0,100,77.265445
-1.0,100,78.675276
-1.0,100,79.091166
-1.0,100,80.480404
-1.0,100,81.843501
-1.0,100,83.256315
-1.0,100,84.605688
1.0,52,84.812835
1.0,51,85.020254
1.0,58,86.323707
-1.0,100,87.687984
1.0,11,87.733583
1.0,84,88.062815
-1.0,100,89.505369
-1.0,100,90.899547
-1.0,100,92.307145
-1.0,100,92.724376
1.0,58,94.086167
-1.0,100,95.535183
1.0,36,95.691814
-1.0,100,97.197262
-1.0,100,98.590921
-1.0,100,99.010491
-1.0,100,100.42763
-1.0,100,101.916186
1.0,74,102.218814
-1.0,100,103.599392
1.0,60,104.910841
1.0,94,105.271662
1.0,45,106.442008
-1.0,100,107.964956
-1.0,100,108.388206
-1.0,100,109.923681
-1.0,100,111.291075
1.0,33,111.427585
-1.0,100,112.894053
1.0,9,112.932586
1.0,85,114.325754
1.0,28,114.422982
-1.0,100,115.816891
-1.0,100,117.278167
-1.0,100,117.693323
-1.0,100,119.085217
-1.0,100,120.536052
-1.0,100,121.933598
1.0,80,122.254378
-1.0,100,123.756104
-1.0,100,125.195587
-1.0,100,126.631494
-1.0,100,127.051858
-1.0,100,128.463082
1.0,16,128.534858
-1.0,100,129.958257
-1.0,100,131.403443
-1.0,100,132.785716
-1.0,100,133.197557
-1.0,100,134.65061
-1.0,100,136.207119
1.0,37,136.359011
-1.0,100,137.774949
-1.0,100,139.201849
-1.0,100,140.639434
1.0,38,140.792503
-1.0,100,142.222228
-1.0,100,142.611503
-1.0,100,144.035931
-1.0,100,145.551695
1.0,24,145.660933
-1.0,100,147.112129
-1.0,100,148.507796
-1.0,100,149.940005
-1.0,100,150.36625
-1.0,100,151.784193
-1.0,100,153.253688
-1.0,100,154.88734
-1.0,100,155.317564
-1.0,100,156.775445
-1.0,100,158.22256
-1.0,100,159.67292
-1.0,100,161.125896
1.0,70,161.436522
1.0,10,161.481194
-1.0,100,162.916067
1.0,71,164.203291
-1.0,100,164.638328
-1.0,100,166.02689
-1.0,100,167.517888
-1.0,100,168.914106
-1.0,100,169.355385
-1.0,100,170.894146
1.0,12,170.942691
1.0,14,170.997477
1.0,11,172.202837
1.0,34,172.343652
-1.0,100,173.798855
1.0,83,174.137582
1.0,53,175.408456
-1.0,100,175.81187
1.0,21,176.892315
-1.0,100,177.291771
-1.0,100,178.732033
1.0,51,180.109945
1.0,60,180.359674
-1.0,100,181.75212
-1.0,100,183.127003
1.0,47,183.332652
-1.0,100,184.79739
-1.0,100,186.159642
-1.0,100,186.558287
-1.0,100,187.965773
1.0,75,189.304821
1.0,36,189.458757
-1.0,100,190.912479
-1.0,100,191.33661
1.0,36,192.562163
1.0,19,192.635262
1.0,18,192.712207
-1.0,100,194.173351
1.0,59,194.424804
1.0,84,195.735925
-1.0,100,197.208224
1.0,25,197.305779
-1.0,100,198.800577
1.0,19,198.879452
-1.0,100,200.440331
-1.0,100,200.863466
-1.0,100,202.254365
1.0,36,202.392897
1.0,77,203.787288
1.0,15,203.846063
-1.0,100,205.21948
-1.0,100,206.655605
-1.0,100,208.090263
1.0,9,208.133916
-1.0,100,208.518286
-1.0,100,209.912671
1.0,38,210.071232
1.0,46,211.250916
-1.0,100,212.675244
1.0,41,212.852974
-1.0,100,214.251039
1.0,92,214.614139
-1.0,100,216.025914
-1.0,100,217.436417
1.0,50,217.632794
1.0,78,218.976362
-1.0,100,220.460474
-1.0,100,221.9094
1.0,47,222.102357
-1.0,100,223.558146
-1.0,100,224.951132
-1.0,100,225.343603
-1.0,100,226.793798
-1.0,100,228.225681
1.0,68,228.506879
-1.0,100,230.038109
-1.0,100,231.526563
1.0,8,231.559618
1.0,18,231.639686
-1.0,100,233.14295
1.0,49,233.336901
1.0,58,234.604095
-1.0,100,235.997674
-1.0,100,236.426349
-1.0,100,237.865322
1.0,62,239.133314
-1.0,100,239.545675
-1.0,100,240.963192
-1.0,100,242.445026
-1.0,100,243.890382
-1.0,100,244.31774
-1.0,100,245.700894
-1.0,100,247.106037
1.0,48,247.324859
-1.0,100,248.697624
-1.0,100,250.25868
-1.0,100,251.632944
-1.0,100,253.1148
1.0,91,253.5041
-1.0,100,255.002004
-1.0,100,256.395661
-1.0,100,257.859521
-1.0,100,258.245978
1.0,44,259.37891
-1.0,100,260.804317
1.0,41,260.986481
-1.0,100,262.498771
-1.0,100,262.91443
1.0,32,264.064863
-1.0,100,264.470063
1.0,13,265.575261
1.0,20,265.659082
1.0,18,265.737996
-1.0,100,267.13648
-1.0,100,267.569238
-1.0,100,268.963082
-1.0,100,270.507686
1.0,19,270.590719
-1.0,100,272.076739
-1.0,100,273.571782
-1.0,100,273.982547
-1.0,100,275.348929
1.0,25,275.468753
-1.0,100,276.87238
1.0,15,276.93718
-1.0,100,278.319832
-1.0,100,279.720023
-1.0,100,281.164769
1.0,81,281.510553
1.0,16,281.588731
1.0,97,283.002794
-1.0,100,284.49886
1.0,42,284.68694
-1.0,100,286.254941
1.0,46,286.445296
1.0,57,287.713594
-1.0,100,289.170739
1.0,88,289.543286
-1.0,100,291.062535
-1.0,100,292.50017
1.0,88,293.819152
-1.0,100,294.232396
1.0,63,295.596625
-1.0,100,297.034297
1.0,70,297.345952
1.0,19,297.426915
-1.0,100,298.905224
1.0,81,300.244672
-1.0,100,301.660852
-1.0,100,302.056404
-1.0,100,303.457789
1.0,56,304.693477
1.0,33,304.832126
1.0,8,304.866848
-1.0,100,306.25795
1.0,33,306.407952
-1.0,100,307.809907
-1.0,100,308.226939
1.0,32,309.451297
-1.0,100,309.867551
1.0,81,311.173773
-1.0,100,312.586693
1.0,65,312.847849
-1.0,100,314.243658
-1.0,100,315.686774
-1.0,100,317.063284
1.0,7,317.096559
-1.0,100,318.626804
-1.0,100,319.024982
-1.0,100,320.40943
1.0,53,321.599595
1.0,26,321.723993
1.0,86,322.065354
-1.0,100,323.45785
1.0,64,324.715615
-1.0,100,326.121683
1.0,98,326.517515
1.0,76,327.842515
-1.0,100,329.21847
-1.0,100,329.639437
-1.0,100,331.088039
-1.0,100,332.551148
-1.0,100,333.912734
1.0,86,334.263748
1.0,57,335.560586
1.0,23,335.657126
-1.0,100,337.070474
-1.0,100,338.534085
-1.0,100,338.939222
1.0,76,340.382381
1.0,10,340.421143
1.0,54,341.723582
1.0,17,341.802921
