#{"env_id": null, "t_start": 1550439889.1704478}
r,l,t
-1.0,100,284.509859
-1.0,100,284.915675
1.0,22,286.018084
1.0,37,286.181993
-1.0,100,287.6459
-1.0,100,288.079251
1.0,6,288.103962
-1.0,100,289.536936
-1.0,100,290.905285
-1.0,100,292.234497
-1.0,100,293.706279
1.0,29,293.813042
-1.0,100,295.142718
-1.0,100,295.567239
1.0,59,296.858224
-1.0,100,298.317165
1.0,94,298.68573
-1.0,100,300.002945
-1.0,100,301.377931
-1.0,100,302.769818
1.0,39,302.931419
-1.0,100,304.310967
-1.0,100,305.648218
1.0,84,305.959221
-1.0,100,307.338994
1.0,55,307.536572
-1.0,100,308.904005
-1.0,100,310.275157
-1.0,100,311.619024
-1.0,100,312.995242
-1.0,100,313.391043
1.0,65,314.577435
-1.0,100,316.151213
-1.0,100,316.540526
1.0,100,318.043134
1.0,60,319.36819
1.0,3,319.378923
-1.0,100,319.752651
1.0,82,321.062682
-1.0,100,322.47666
-1.0,100,323.829633
1.0,100,324.248401
-1.0,100,325.673398
-1.0,100,327.08998
-1.0,100,328.445002
-1.0,100,330.008323
-1.0,100,330.374972
-1.0,100,331.861008
1.0,82,333.149565
-1.0,100,334.509269
-1.0,100,334.912249
-1.0,100,336.42427
-1.0,100,337.836897
1.0,17,337.909813
-1.0,100,339.339502
1.0,86,339.658425
-1.0,100,341.049618
1.0,49,342.188155
-1.0,100,342.58096
-1.0,100,343.993904
-1.0,100,345.307243
-1.0,100,346.718174
-1.0,100,348.125863
-1.0,100,348.512618
-1.0,100,349.916924
-1.0,100,351.318416
-1.0,100,352.706844
-1.0,100,353.128181
-1.0,100,354.730753
-1.0,100,356.103649
-1.0,100,357.451275
1.0,16,357.527969
-1.0,100,358.979835
-1.0,100,359.39651
-1.0,100,360.802044
1.0,38,361.993701
-1.0,100,362.433327
-1.0,100,363.830905
-1.0,100,365.345244
-1.0,100,366.736507
-1.0,100,367.131863
-1.0,100,368.58336
1.0,80,369.84789
-1.0,100,371.277862
-1.0,100,371.66446
-1.0,100,373.051621
-1.0,100,374.402426
-1.0,100,375.868822
1.0,53,376.079671
-1.0,100,377.439542
-1.0,100,378.842165
-1.0,100,380.296299
-1.0,100,380.707183
-1.0,100,382.183166
-1.0,100,383.55042
-1.0,100,385.051123
-1.0,100,385.437319
-1.0,100,386.817454
-1.0,100,388.227538
-1.0,100,389.637685
-1.0,100,391.023334
1.0,14,391.079679
-1.0,100,391.496706
-1.0,100,392.915018
1.0,25,393.016072
1.0,12,394.0607
-1.0,100,394.437763
-1.0,100,395.889933
-1.0,100,397.231952
-1.0,100,398.713482
-1.0,100,399.106628
1.0,75,400.330644
-1.0,100,401.648966
-1.0,100,402.983157
1.0,6,403.012932
1.0,55,403.226052
-1.0,100,404.624353
1.0,79,404.92686
-1.0,100,406.339505
-1.0,100,407.740381
1.0,9,407.776062
1.0,39,407.933924
-1.0,100,409.31587
-1.0,100,410.700672
-1.0,100,412.143606
1.0,61,412.375796
-1.0,100,413.801574
-1.0,100,415.199011
-1.0,100,416.637725
1.0,76,416.916886
-1.0,100,418.286508
1.0,33,418.427312
-1.0,100,419.953693
1.0,27,420.08806
1.0,15,420.162721
1.0,55,421.413998
1.0,92,421.795695
1.0,45,423.024519
-1.0,100,424.435721
-1.0,100,424.810022
1.0,79,426.141232
-1.0,100,427.442537
-1.0,100,428.876531
-1.0,100,429.270779
1.0,24,430.347461
-1.0,100,430.70504
-1.0,100,432.092957
1.0,79,433.345358
-1.0,100,433.748576
-1.0,100,435.231859
1.0,37,436.346527
-1.0,100,436.741466
-1.0,100,438.246472
1.0,79,439.68348
-1.0,100,441.119045
-1.0,100,441.522343
-1.0,100,443.011854
-1.0,100,444.423355
1.0,11,444.465166
-1.0,100,445.831191
-1.0,100,447.221015
1.0,69,447.505761
1.0,91,448.800708
1.0,56,449.027111
-1.0,100,450.407069
-1.0,100,451.775502
1.0,24,451.876248
1.0,31,452.013567
-1.0,100,453.360439
1.0,100,454.852278
-1.0,100,456.243394
-1.0,100,456.617123
-1.0,100,457.935997
-1.0,100,459.282041
-1.0,100,460.730285
-1.0,100,461.133401
-1.0,100,462.591651
-1.0,100,463.97391
1.0,96,465.378361
-1.0,100,466.733695
-1.0,100,467.144432
-1.0,100,468.67343
1.0,46,468.85573
-1.0,100,470.210827
-1.0,100,471.700119
-1.0,100,473.191818
1.0,49,473.376845
-1.0,100,474.740596
1.0,34,474.880741
-1.0,100,476.346734
-1.0,100,477.728059
1.0,37,477.889528
-1.0,100,479.442863
-1.0,100,480.872829
1.0,50,481.086876
-1.0,100,482.474629
-1.0,100,483.892935
1.0,18,483.961604
-1.0,100,485.341724
-1.0,100,485.746969
-1.0,100,487.188173
-1.0,100,488.693683
1.0,25,488.7962
-1.0,100,490.222136
-1.0,100,491.627548
-1.0,100,492.012481
1.0,16,493.085179
-1.0,100,493.493903
-1.0,100,494.910244
-1.0,100,496.292669
-1.0,100,497.784584
-1.0,100,498.188206
-1.0,100,499.737244
-1.0,100,501.096639
-1.0,100,502.500365
-1.0,100,503.908477
-1.0,100,504.2908
-1.0,100,505.684891
-1.0,100,507.006587
1.0,67,507.265235
-1.0,100,508.613234
-1.0,100,510.021617
1.0,10,510.06248
-1.0,100,511.477021
-1.0,100,512.882286
-1.0,100,513.249437
1.0,87,514.672763
-1.0,100,516.097212
-1.0,100,517.569533
-1.0,100,517.959096
-1.0,100,519.332509
-1.0,100,520.731874
-1.0,100,522.112958
-1.0,100,523.575691
-1.0,100,523.979762
-1.0,100,525.340163
-1.0,100,526.723187
1.0,13,526.768165
-1.0,100,528.183247
1.0,68,528.430209
-1.0,100,529.862581
-1.0,100,531.26588
-1.0,100,532.559537
1.0,23,532.651506
-1.0,100,534.095001
-1.0,100,534.510275
1.0,100,535.859101
-1.0,100,537.320904
1.0,16,537.389756
-1.0,100,538.829396
-1.0,100,540.180559
-1.0,100,540.600359
1.0,10,541.625758
-1.0,100,542.035167
