#{"env_id": null, "t_start": 1550428228.393911}
r,l,t
-1.0,100,6.485356
-1.0,100,8.572177
-1.0,100,9.810665
-1.0,100,11.094219
-1.0,100,11.454563
-1.0,100,12.704748
-1.0,100,13.927044
-1.0,100,15.333105
-1.0,100,16.634639
1.0,88,16.943192
-1.0,100,18.176774
-1.0,100,19.468095
1.0,71,19.731081
-1.0,100,20.944668
1.0,31,21.050643
-1.0,100,22.393605
-1.0,100,23.728019
-1.0,100,25.17357
-1.0,100,25.53312
-1.0,100,26.789373
1.0,89,27.991477
-1.0,100,29.301061
-1.0,100,30.575828
-1.0,100,30.93276
-1.0,100,32.273857
-1.0,100,33.58507
-1.0,100,34.981296
1.0,12,35.032183
1.0,45,35.177475
-1.0,100,36.513536
-1.0,100,37.769589
-1.0,100,38.148364
1.0,66,39.348156
-1.0,100,40.716736
-1.0,100,42.053988
-1.0,100,42.398571
1.0,91,43.650316
-1.0,100,44.90133
-1.0,100,46.189997
-1.0,100,46.577175
-1.0,100,47.906029
-1.0,100,49.121278
1.0,37,49.254199
-1.0,100,50.527366
-1.0,100,51.809137
-1.0,100,53.0849
1.0,56,53.285335
-1.0,100,54.567537
-1.0,100,55.921373
-1.0,100,56.305733
-1.0,100,57.694956
-1.0,100,58.938024
1.0,27,59.039636
-1.0,100,60.322835
-1.0,100,61.646549
1.0,27,61.755589
-1.0,100,63.08999
-1.0,100,63.483043
-1.0,100,64.834072
-1.0,100,66.085707
-1.0,100,67.34645
1.0,49,67.516158
1.0,31,67.634724
-1.0,100,68.985627
-1.0,100,70.256597
-1.0,100,71.60074
-1.0,100,72.909489
-1.0,100,73.298518
1.0,39,74.330277
-1.0,100,74.679459
-1.0,100,76.008797
-1.0,100,77.339227
-1.0,100,78.587295
-1.0,100,79.857567
-1.0,100,80.229788
-1.0,100,81.545993
-1.0,100,82.927098
-1.0,100,84.190132
1.0,68,84.431383
-1.0,100,85.755541
-1.0,100,87.064116
-1.0,100,88.362335
-1.0,100,88.700275
1.0,45,89.778674
1.0,62,90.023202
-1.0,100,91.343169
-1.0,100,92.765213
1.0,74,93.054336
-1.0,100,94.354849
-1.0,100,95.714596
-1.0,100,97.069013
-1.0,100,97.43641
1.0,68,98.5629
-1.0,100,99.973242
-1.0,100,100.338474
-1.0,100,101.707869
-1.0,100,102.996934
-1.0,100,104.371336
-1.0,100,105.728698
-1.0,100,106.1421
-1.0,100,107.404501
-1.0,100,108.638965
-1.0,100,109.954885
1.0,38,110.079644
1.0,21,110.160095
1.0,27,110.268822
-1.0,100,111.717145
-1.0,100,113.174635
-1.0,100,114.535338
-1.0,100,115.863309
1.0,31,115.973662
1.0,77,116.264358
1.0,29,117.337067
-1.0,100,117.765566
-1.0,100,119.105787
-1.0,100,120.430726
-1.0,100,121.725571
-1.0,100,123.075601
-1.0,100,123.443296
1.0,14,123.49389
-1.0,100,124.919576
1.0,94,126.187335
1.0,32,126.294139
-1.0,100,127.632633
-1.0,100,128.920904
1.0,94,129.25676
-1.0,100,130.504615
1.0,24,130.608768
-1.0,100,131.932353
1.0,91,133.266442
1.0,13,133.310498
-1.0,100,134.684816
-1.0,100,135.935506
-1.0,100,136.299032
1.0,36,137.308412
-1.0,100,137.674806
1.0,33,138.955668
-1.0,100,139.340029
-1.0,100,140.651415
-1.0,100,141.948331
1.0,47,142.116794
-1.0,100,143.449316
-1.0,100,144.734672
1.0,5,144.753515
1.0,16,144.813331
-1.0,100,146.117153
-1.0,100,147.530864
-1.0,100,147.88389
-1.0,100,149.111568
1.0,29,149.215581
-1.0,100,150.488114
-1.0,100,151.668621
-1.0,100,153.098148
-1.0,100,154.46018
1.0,16,154.521748
-1.0,100,155.790609
-1.0,100,156.161206
1.0,63,157.406916
1.0,5,157.428549
-1.0,100,158.681976
-1.0,100,159.012277
-1.0,100,160.285192
1.0,25,160.367949
-1.0,100,161.629599
-1.0,100,163.032788
1.0,83,164.220682
1.0,10,164.263838
-1.0,100,164.622789
-1.0,100,165.920162
-1.0,100,167.22965
1.0,91,168.580818
1.0,19,168.651441
1.0,96,169.880546
-1.0,100,170.237428
-1.0,100,171.567734
-1.0,100,172.880974
-1.0,100,174.138688
1.0,40,174.303152
-1.0,100,175.626425
-1.0,100,176.918284
-1.0,100,177.295293
-1.0,100,178.528504
1.0,58,179.754531
-1.0,100,180.12598
1.0,77,181.39627
1.0,72,182.633469
-1.0,100,183.018378
-1.0,100,184.330928
1.0,20,184.406972
-1.0,100,185.72076
1.0,20,185.808229
1.0,50,187.042939
1.0,88,187.360408
1.0,50,188.486014
-1.0,100,188.861734
1.0,42,190.143759
1.0,71,190.370469
-1.0,100,191.631344
-1.0,100,192.970058
-1.0,100,194.177805
-1.0,100,194.531698
-1.0,100,195.878708
1.0,42,197.00112
1.0,84,197.329635
1.0,31,197.44881
-1.0,100,198.71644
-1.0,100,200.059325
-1.0,100,201.321291
-1.0,100,202.601916
1.0,49,202.817468
-1.0,100,204.067065
1.0,75,204.363683
-1.0,100,205.638189
1.0,69,206.798471
-1.0,100,207.180691
-1.0,100,208.51488
-1.0,100,210.005836
1.0,43,210.156623
1.0,31,211.23479
1.0,37,211.420593
-1.0,100,212.680988
-1.0,100,213.025162
-1.0,100,214.314991
-1.0,100,215.636959
-1.0,100,216.877041
-1.0,100,218.163643
1.0,30,218.26666
1.0,76,218.541966
-1.0,100,219.802764
-1.0,100,221.161792
-1.0,100,222.394006
-1.0,100,223.663197
-1.0,100,224.061374
-1.0,100,225.346679
-1.0,100,226.686752
-1.0,100,227.962551
-1.0,100,228.284968
-1.0,100,229.578306
-1.0,100,230.946902
-1.0,100,232.241381
1.0,80,232.541527
1.0,87,233.756207
1.0,14,233.806173
-1.0,100,235.086326
-1.0,100,236.370125
1.0,11,236.413821
-1.0,100,237.685284
-1.0,100,238.026851
-1.0,100,239.322842
1.0,70,240.604398
-1.0,100,241.914112
1.0,87,242.216427
1.0,32,242.320207
1.0,8,243.294845
1.0,37,243.417902
-1.0,100,244.614163
-1.0,100,244.962977
1.0,22,246.091408
-1.0,100,246.430717
1.0,32,247.522998
1.0,67,247.777426
1.0,72,248.891279
-1.0,100,249.23098
-1.0,100,250.544223
1.0,35,250.655634
-1.0,100,252.000041
-1.0,100,253.268605
-1.0,100,254.488238
1.0,20,254.565116
-1.0,100,255.920917
1.0,60,256.128851
1.0,25,256.215753
-1.0,100,257.475296
1.0,30,257.574521
-1.0,100,258.83512
-1.0,100,260.143384
-1.0,100,261.401708
-1.0,100,262.71551
-1.0,100,263.078668
-1.0,100,264.422942
-1.0,100,265.667778
-1.0,100,266.893679
-1.0,100,267.258508
1.0,45,268.349688
1.0,19,268.437459
1.0,44,268.609846
-1.0,100,269.918614
-1.0,100,271.112395
-1.0,100,272.319873
-1.0,100,272.668569
1.0,36,273.75135
-1.0,100,275.111763
1.0,82,275.417336
1.0,41,275.573468
-1.0,100,276.967413
-1.0,100,278.346023
-1.0,100,279.621362
-1.0,100,281.016705
-1.0,100,281.369148
-1.0,100,282.763463
1.0,24,282.85062
-1.0,100,284.294754
-1.0,100,285.560699
1.0,83,286.802814
-1.0,100,287.193456
-1.0,100,288.542206
1.0,12,288.599445
-1.0,100,289.93937
-1.0,100,291.227175
1.0,84,291.527154
-1.0,100,292.800831
-1.0,100,294.092761
-1.0,100,295.493403
1.0,18,295.560859
-1.0,100,296.92046
1.0,48,297.088735
-1.0,100,298.399706
1.0,8,298.430141
-1.0,100,299.699788
-1.0,100,300.046547
-1.0,100,301.364615
1.0,99,302.716848
-1.0,100,303.969874
-1.0,100,305.225108
-1.0,100,305.628217
1.0,41,306.734247
-1.0,100,307.081431
-1.0,100,308.429134
1.0,74,309.635803
-1.0,100,310.908358
1.0,77,311.168948
-1.0,100,312.522634
1.0,50,312.691822
-1.0,100,314.040098
1.0,46,315.214412
-1.0,100,315.561269
-1.0,100,316.812871
-1.0,100,318.124544
-1.0,100,319.377187
1.0,57,319.581728
1.0,46,319.742614
1.0,71,320.946326
-1.0,100,322.196535
-1.0,100,323.423487
1.0,21,323.501787
-1.0,100,324.833935
-1.0,100,325.212336
-1.0,100,326.509687
1.0,18,326.580674
-1.0,100,327.78951
-1.0,100,329.130595
-1.0,100,330.498955
-1.0,100,330.894894
-1.0,100,332.241425
-1.0,100,333.505286
-1.0,100,334.848637
-1.0,100,335.208704
-1.0,100,336.502606
1.0,13,336.558903
-1.0,100,337.846902
-1.0,100,339.102364
1.0,18,339.163283
-1.0,100,340.456564
-1.0,100,341.64529
-1.0,100,341.992954
-1.0,100,343.320975
-1.0,100,344.645105
-1.0,100,345.928323
-1.0,100,347.117709
-1.0,100,347.473102
1.0,41,348.487382
-1.0,100,348.843939
1.0,41,349.90041
-1.0,100,351.145316
-1.0,100,351.50837
1.0,75,352.680302
1.0,56,352.879286
-1.0,100,354.310205
1.0,80,355.549191
-1.0,100,356.929605
-1.0,100,357.282043
-1.0,100,358.535689
-1.0,100,359.797102
1.0,28,359.89859
-1.0,100,361.214783
-1.0,100,362.490041
1.0,52,362.68922
-1.0,100,363.947015
-1.0,100,365.240545
1.0,23,365.321229
1.0,10,365.35626
-1.0,100,366.578967
-1.0,100,366.957425
-1.0,100,368.257342
1.0,14,368.307337
-1.0,100,369.596744
-1.0,100,370.840084
-1.0,100,372.145669
1.0,15,372.206585
1.0,89,372.518404
-1.0,100,373.758753
-1.0,100,375.060381
-1.0,100,376.288309
-1.0,100,377.633669
-1.0,100,378.01192
