#{"t_start": 1550432520.9493241, "env_id": null}
r,l,t
1.0,27,284.710757
1.0,83,285.058865
-1.0,100,286.489491
-1.0,100,287.923661
1.0,27,288.028742
-1.0,100,289.394151
-1.0,100,290.846138
-1.0,100,291.239094
-1.0,100,292.653613
-1.0,100,294.009792
-1.0,100,295.437037
-1.0,100,295.826474
-1.0,100,297.151373
1.0,67,298.490032
1.0,72,298.798193
1.0,51,300.059237
1.0,26,300.169612
1.0,22,300.279589
-1.0,100,301.716413
-1.0,100,303.178655
-1.0,100,303.594169
-1.0,100,305.024268
-1.0,100,306.548825
-1.0,100,307.914608
-1.0,100,309.264561
-1.0,100,309.679144
-1.0,100,311.087826
-1.0,100,312.622155
-1.0,100,313.98999
-1.0,100,314.422135
-1.0,100,315.833448
1.0,50,317.013152
-1.0,100,317.424489
-1.0,100,318.890981
-1.0,100,320.287981
-1.0,100,321.669918
-1.0,100,323.12722
-1.0,100,323.537351
-1.0,100,324.942951
-1.0,100,326.345584
-1.0,100,327.708721
1.0,16,327.783819
-1.0,100,329.33901
-1.0,100,329.770926
-1.0,100,331.187759
-1.0,100,332.627074
-1.0,100,334.068386
-1.0,100,334.513189
1.0,7,335.447704
1.0,40,335.590689
1.0,94,336.928119
1.0,50,337.143031
1.0,61,337.38659
1.0,30,338.579966
1.0,93,338.957439
-1.0,100,340.401278
1.0,29,340.524813
-1.0,100,341.852807
1.0,61,343.157102
1.0,35,343.305426
-1.0,100,344.617944
-1.0,100,345.03241
1.0,18,346.139719
-1.0,100,346.539416
1.0,56,347.704778
1.0,42,347.884027
1.0,46,349.085521
1.0,55,349.292178
-1.0,100,350.661765
1.0,8,350.692111
-1.0,100,352.099138
1.0,52,352.294768
1.0,52,352.519993
-1.0,100,353.926391
-1.0,100,355.272647
1.0,76,356.584347
-1.0,100,356.968598
1.0,42,358.105563
-1.0,100,358.494634
-1.0,100,359.869282
-1.0,100,361.244247
1.0,53,361.453277
-1.0,100,362.929345
-1.0,100,364.422422
1.0,27,364.523733
-1.0,100,365.903381
1.0,65,366.172296
-1.0,100,367.633929
1.0,91,368.931706
1.0,7,368.954924
-1.0,100,370.359637
-1.0,100,371.825233
-1.0,100,372.258434
-1.0,100,373.744185
-1.0,100,375.094353
1.0,32,375.22878
-1.0,100,376.555271
-1.0,100,377.974254
1.0,94,378.321307
1.0,7,379.302705
1.0,94,379.689948
-1.0,100,381.146681
-1.0,100,382.546408
-1.0,100,383.838483
-1.0,100,384.251401
-1.0,100,385.607193
-1.0,100,387.008521
-1.0,100,388.336045
1.0,62,388.592022
-1.0,100,390.155734
-1.0,100,391.535506
1.0,45,391.724042
-1.0,100,393.103338
-1.0,100,394.539529
-1.0,100,394.920469
-1.0,100,396.289116
-1.0,100,397.670568
-1.0,100,399.117779
-1.0,100,400.451955
1.0,21,400.536652
-1.0,100,401.955984
1.0,90,402.342537
1.0,90,403.715226
1.0,17,403.776541
-1.0,100,405.156182
-1.0,100,406.695303
-1.0,100,407.117183
-1.0,100,408.528486
-1.0,100,409.896193
-1.0,100,411.266945
-1.0,100,412.700013
-1.0,100,413.067158
1.0,48,414.329645
1.0,72,414.633188
-1.0,100,416.040807
1.0,87,417.434398
1.0,53,417.660543
-1.0,100,419.273489
-1.0,100,420.677598
-1.0,100,422.049155
-1.0,100,422.443044
-1.0,100,423.893221
1.0,98,425.269976
-1.0,100,426.676139
-1.0,100,427.06076
-1.0,100,428.520637
-1.0,100,429.87195
-1.0,100,431.308338
-1.0,100,432.767906
1.0,90,433.120012
-1.0,100,434.439927
-1.0,100,435.778341
1.0,19,435.843785
-1.0,100,437.248316
-1.0,100,437.631275
-1.0,100,438.968497
1.0,47,440.09945
-1.0,100,440.469408
-1.0,100,441.821828
-1.0,100,443.378285
-1.0,100,444.724999
1.0,45,444.895951
-1.0,100,446.395595
-1.0,100,447.875172
-1.0,100,448.267976
-1.0,100,449.743232
-1.0,100,451.159507
-1.0,100,452.490791
-1.0,100,453.868642
1.0,17,453.933387
1.0,9,453.968215
1.0,52,454.186188
-1.0,100,455.552364
-1.0,100,456.950691
-1.0,100,458.392591
1.0,31,458.511588
-1.0,100,459.933055
-1.0,100,460.344472
-1.0,100,461.8221
1.0,12,461.877685
1.0,37,463.086981
-1.0,100,463.466638
-1.0,100,464.888044
1.0,87,466.209614
-1.0,100,467.545723
1.0,73,467.821401
-1.0,100,469.304259
1.0,14,469.3631
-1.0,100,470.680591
1.0,4,470.700497
1.0,89,471.925366
1.0,99,472.347497
-1.0,100,473.700401
1.0,69,474.94529
-1.0,100,475.383626
1.0,94,476.755605
-1.0,100,478.205466
1.0,90,479.624076
1.0,24,479.724931
-1.0,100,481.141321
-1.0,100,481.563942
1.0,44,482.73915
-1.0,100,483.140929
1.0,25,484.229343
1.0,36,484.389743
-1.0,100,485.862974
1.0,84,486.185103
1.0,79,487.587991
1.0,9,487.626432
1.0,83,488.953599
-1.0,100,490.275969
1.0,22,490.364788
-1.0,100,490.776363
1.0,28,491.913332
-1.0,100,492.352668
-1.0,100,493.703284
1.0,56,494.856026
1.0,19,494.939535
-1.0,100,496.378868
1.0,38,496.559811
-1.0,100,497.932889
-1.0,100,498.37349
-1.0,100,499.851385
1.0,29,499.971571
1.0,49,501.165725
1.0,4,501.185829
1.0,73,501.510278
-1.0,100,502.932575
1.0,21,503.01846
1.0,26,504.129484
-1.0,100,504.54731
-1.0,100,505.985518
-1.0,100,507.468788
1.0,65,507.721106
1.0,8,508.739359
-1.0,100,509.1859
-1.0,100,510.658786
-1.0,100,512.064208
-1.0,100,513.382913
-1.0,100,513.818376
1.0,26,514.991693
1.0,42,515.147599
1.0,78,516.431015
1.0,47,516.644708
-1.0,100,518.0864
-1.0,100,518.468608
-1.0,100,519.877427
1.0,43,521.007869
-1.0,100,521.425023
1.0,94,522.87518
-1.0,100,524.284845
1.0,12,524.334221
1.0,35,524.478311
-1.0,100,525.888324
-1.0,100,527.317108
-1.0,100,528.693698
-1.0,100,529.081376
1.0,33,530.300682
-1.0,100,530.729334
1.0,17,531.828614
-1.0,100,532.254935
1.0,8,532.29036
1.0,72,533.589706
-1.0,100,535.082572
1.0,95,536.393471
1.0,68,536.678959
1.0,63,537.972935
-1.0,100,538.372098
1.0,71,539.797105
-1.0,100,541.163013
-1.0,100,541.580585
-1.0,100,543.077674
-1.0,100,544.574702
1.0,73,545.803783
1.0,75,546.111229
1.0,9,546.152008
1.0,25,546.244864
1.0,62,547.473151
