#{"env_id": null, "t_start": 1550432437.3540447}
r,l,t
1.0,27,7.169637
-1.0,100,7.575227
-1.0,100,10.59992
-1.0,100,11.912986
1.0,86,13.343859
-1.0,100,14.749906
-1.0,100,15.160135
1.0,51,16.358536
-1.0,100,16.759732
-1.0,100,18.087629
1.0,39,19.257145
-1.0,100,19.637382
1.0,42,20.761903
-1.0,100,21.171143
1.0,12,22.370584
-1.0,100,22.759072
-1.0,100,24.10595
-1.0,100,25.481673
-1.0,100,26.861102
1.0,17,26.929715
-1.0,100,28.281608
1.0,20,28.365063
-1.0,100,29.788153
-1.0,100,30.202162
-1.0,100,31.609259
-1.0,100,33.084565
1.0,73,33.394268
-1.0,100,34.711463
-1.0,100,36.115124
-1.0,100,37.562366
-1.0,100,38.955406
-1.0,100,39.363735
-1.0,100,40.72051
-1.0,100,42.073128
-1.0,100,43.406322
-1.0,100,43.794971
1.0,51,44.969195
1.0,73,45.259511
1.0,56,46.47085
-1.0,100,47.838234
-1.0,100,48.24058
1.0,63,49.49822
-1.0,100,50.966313
1.0,26,51.065099
-1.0,100,52.456368
1.0,12,52.509866
1.0,58,52.745397
-1.0,100,54.167896
-1.0,100,55.547673
-1.0,100,56.869086
1.0,85,57.203512
-1.0,100,58.603371
-1.0,100,59.975852
1.0,9,60.013171
1.0,22,60.099999
1.0,25,60.195888
1.0,76,61.47562
1.0,62,61.725403
1.0,94,63.187666
-1.0,100,64.539842
-1.0,100,65.945179
-1.0,100,66.350255
1.0,78,67.595991
-1.0,100,68.898736
1.0,22,68.992422
-1.0,100,70.360343
1.0,9,70.405789
-1.0,100,71.736333
-1.0,100,72.191852
-1.0,100,73.707781
-1.0,100,75.09058
-1.0,100,76.51452
1.0,71,76.797313
1.0,22,76.887726
-1.0,100,78.396093
-1.0,100,79.799369
-1.0,100,81.166952
-1.0,100,82.635131
1.0,32,82.776133
-1.0,100,84.174636
-1.0,100,84.565333
1.0,29,85.893533
-1.0,100,86.458112
1.0,10,86.517525
-1.0,100,87.969641
-1.0,100,89.301804
-1.0,100,90.656088
-1.0,100,92.00443
-1.0,100,92.373381
-1.0,100,93.735645
-1.0,100,95.062876
-1.0,100,96.496552
-1.0,100,96.900685
-1.0,100,98.316906
-1.0,100,99.797402
-1.0,100,101.150295
1.0,11,101.193824
1.0,27,101.311404
1.0,96,102.658777
-1.0,100,104.114777
1.0,39,104.273362
-1.0,100,105.698427
-1.0,100,107.022642
-1.0,100,107.439495
-1.0,100,108.791195
-1.0,100,110.166559
-1.0,100,111.595881
-1.0,100,111.983667
1.0,92,113.266545
1.0,21,113.346063
-1.0,100,114.703074
1.0,80,116.01785
1.0,54,116.219395
-1.0,100,117.555494
-1.0,100,118.923157
1.0,26,119.023356
-1.0,100,120.373439
-1.0,100,120.776411
-1.0,100,122.148398
-1.0,100,123.471421
-1.0,100,124.819129
-1.0,100,126.105566
-1.0,100,126.463222
-1.0,100,127.814659
-1.0,100,129.216653
-1.0,100,130.625136
-1.0,100,132.301612
-1.0,100,132.674428
-1.0,100,134.104677
1.0,58,135.298186
-1.0,100,135.70307
-1.0,100,137.195623
1.0,22,137.276347
-1.0,100,138.653917
-1.0,100,140.016879
1.0,14,140.069679
1.0,16,140.133896
-1.0,100,141.484466
-1.0,100,142.94811
1.0,50,143.22368
-1.0,100,144.736207
-1.0,100,146.063665
-1.0,100,146.453183
-1.0,100,147.764544
-1.0,100,149.072167
-1.0,100,150.412349
-1.0,100,150.791861
-1.0,100,152.122118
-1.0,100,153.500041
-1.0,100,154.86681
-1.0,100,156.227503
-1.0,100,156.621575
-1.0,100,157.98159
1.0,21,158.066662
1.0,79,159.30928
-1.0,100,160.649919
-1.0,100,161.939247
1.0,45,162.129812
-1.0,100,163.452028
-1.0,100,163.848778
-1.0,100,165.163594
-1.0,100,166.55069
-1.0,100,167.863148
-1.0,100,169.335556
1.0,90,169.684179
-1.0,100,171.006907
-1.0,100,172.340913
-1.0,100,173.703615
-1.0,100,174.092283
-1.0,100,175.444183
-1.0,100,176.854623
-1.0,100,178.237206
-1.0,100,179.624245
-1.0,100,180.004568
-1.0,100,181.417969
-1.0,100,182.926476
-1.0,100,184.290388
-1.0,100,184.667731
