#{"env_id": null, "t_start": 1550434895.1811538}
r,l,t
-1.0,100,7.497373
-1.0,100,10.045217
-1.0,100,11.435455
-1.0,100,12.821043
1.0,7,12.852309
-1.0,100,13.247445
-1.0,100,14.591418
1.0,15,14.649147
-1.0,100,16.220519
-1.0,100,17.586686
1.0,38,17.7367
-1.0,100,19.107846
1.0,43,19.273311
-1.0,100,20.714336
-1.0,100,22.521241
-1.0,100,23.915885
1.0,36,24.073357
-1.0,100,25.45577
1.0,68,25.760244
-1.0,100,27.24392
1.0,13,27.300067
-1.0,100,28.665235
-1.0,100,30.115316
1.0,6,30.140991
-1.0,100,31.550752
1.0,12,31.599413
-1.0,100,32.006008
-1.0,100,33.491172
-1.0,100,34.855183
-1.0,100,36.229672
-1.0,100,37.67373
-1.0,100,38.10079
-1.0,100,39.51766
-1.0,100,40.909558
-1.0,100,42.27972
1.0,53,42.504653
-1.0,100,43.898568
-1.0,100,45.292617
-1.0,100,45.708273
1.0,35,46.797403
1.0,80,47.135284
1.0,54,48.359947
1.0,11,48.406115
-1.0,100,49.852733
1.0,62,50.131337
-1.0,100,51.494474
-1.0,100,52.956271
-1.0,100,53.378244
-1.0,100,54.72321
-1.0,100,56.107587
1.0,95,57.466598
1.0,20,57.54546
1.0,13,57.602031
-1.0,100,58.996333
1.0,94,60.781908
-1.0,100,61.384843
-1.0,100,62.786189
1.0,39,62.950167
-1.0,100,64.377118
-1.0,100,65.80903
-1.0,100,67.189641
1.0,11,67.240138
1.0,63,67.501512
-1.0,100,68.93509
1.0,91,70.344147
-1.0,100,71.743688
-1.0,100,72.148142
1.0,98,73.6022
1.0,17,73.668804
-1.0,100,75.15189
-1.0,100,76.562544
-1.0,100,78.001588
1.0,21,78.091305
1.0,13,78.147126
-1.0,100,79.620199
1.0,13,79.676824
1.0,25,79.783118
-1.0,100,81.155624
-1.0,100,82.491854
-1.0,100,82.8854
1.0,33,84.021711
1.0,7,84.054999
-1.0,100,84.455668
-1.0,100,85.969773
-1.0,100,87.378747
-1.0,100,88.805198
1.0,9,88.843156
1.0,53,89.059578
1.0,29,89.188605
-1.0,100,90.689188
-1.0,100,92.130162
1.0,6,92.158308
1.0,9,92.199913
-1.0,100,93.563466
1.0,83,94.869956
-1.0,100,95.285245
-1.0,100,96.612206
-1.0,100,97.999189
-1.0,100,99.358726
-1.0,100,99.785575
1.0,86,101.095331
-1.0,100,102.470487
-1.0,100,103.789978
-1.0,100,104.183185
-1.0,100,105.715795
1.0,27,105.823454
-1.0,100,107.143903
-1.0,100,108.490553
1.0,53,108.71178
-1.0,100,110.120451
-1.0,100,111.507981
1.0,33,111.649618
-1.0,100,113.084891
-1.0,100,114.477088
-1.0,100,115.87966
1.0,34,116.02088
-1.0,100,117.450078
1.0,15,117.511485
-1.0,100,118.87134
-1.0,100,119.272117
1.0,37,120.526836
-1.0,100,120.928281
