#{"t_start": 1550434914.9479685, "env_id": null}
r,l,t
1.0,42,6.97014
1.0,42,7.13085
-1.0,100,9.545647
1.0,11,9.599199
1.0,52,9.808782
-1.0,100,11.201376
-1.0,100,12.582126
-1.0,100,13.908602
-1.0,100,15.228797
1.0,83,15.543261
-1.0,100,16.984876
-1.0,100,18.32404
-1.0,100,19.831676
-1.0,100,20.251656
-1.0,100,21.669446
-1.0,100,23.090019
-1.0,100,24.612389
-1.0,100,24.995826
-1.0,100,26.431072
1.0,74,27.673719
-1.0,100,29.099479
-1.0,100,29.52626
-1.0,100,30.884271
-1.0,100,32.337689
-1.0,100,33.736491
-1.0,100,34.137674
-1.0,100,35.479163
-1.0,100,36.983629
-1.0,100,38.407044
-1.0,100,39.999193
1.0,27,40.171998
-1.0,100,41.875707
-1.0,100,42.319511
-1.0,100,43.735324
-1.0,100,45.145838
-1.0,100,46.526911
-1.0,100,47.9688
1.0,64,48.255437
-1.0,100,49.648406
-1.0,100,51.02326
-1.0,100,51.429478
-1.0,100,52.845381
1.0,46,53.99343
1.0,19,54.076395
-1.0,100,54.491307
-1.0,100,56.014564
-1.0,100,57.421018
-1.0,100,58.841904
-1.0,100,60.246018
-1.0,100,60.64137
1.0,90,61.946701
-1.0,100,63.324939
1.0,70,63.606303
-1.0,100,64.999306
-1.0,100,66.443387
-1.0,100,67.822152
-1.0,100,68.228684
-1.0,100,69.605854
1.0,39,70.782526
1.0,8,70.817242
-1.0,100,71.235981
-1.0,100,72.680892
-1.0,100,74.104897
-1.0,100,75.535453
-1.0,100,76.95307
1.0,35,77.099982
1.0,44,77.282095
1.0,63,78.563967
1.0,96,78.960408
-1.0,100,80.366193
1.0,34,80.507482
-1.0,100,81.907661
-1.0,100,83.316431
-1.0,100,84.695101
-1.0,100,86.062819
-1.0,100,86.47989
-1.0,100,87.837403
-1.0,100,89.24062
-1.0,100,90.631794
1.0,22,90.718236
-1.0,100,92.11285
-1.0,100,92.528336
1.0,32,93.662091
-1.0,100,94.074425
-1.0,100,95.522062
1.0,39,96.628721
1.0,92,96.999519
-1.0,100,98.418104
-1.0,100,99.764297
-1.0,100,101.187674
-1.0,100,101.597117
1.0,50,102.786309
1.0,30,102.907069
-1.0,100,104.29316
-1.0,100,105.746825
-1.0,100,106.165094
-1.0,100,107.590982
-1.0,100,108.994043
-1.0,100,110.36425
1.0,59,110.614629
-1.0,100,112.023558
-1.0,100,113.419493
1.0,25,113.526
-1.0,100,114.892752
1.0,67,115.164338
1.0,99,116.615066
-1.0,100,117.996858
-1.0,100,119.415278
1.0,90,119.786899
-1.0,100,121.211316
-1.0,100,122.578304
-1.0,100,123.957398
1.0,27,124.073909
1.0,84,124.420105
-1.0,100,125.800632
-1.0,100,127.191811
-1.0,100,128.59393
-1.0,100,130.031783
-1.0,100,130.45342
-1.0,100,131.92184
1.0,65,133.142239
-1.0,100,133.566435
1.0,39,134.720255
-1.0,100,136.125312
-1.0,100,136.546242
-1.0,100,137.925845
1.0,8,137.957412
-1.0,100,139.412017
1.0,92,140.823111
1.0,42,141.004028
-1.0,100,142.498615
1.0,11,142.550118
1.0,40,142.712917
-1.0,100,144.184823
1.0,21,144.273366
-1.0,100,145.642758
1.0,16,145.717261
-1.0,100,147.154392
-1.0,100,148.545105
1.0,78,148.881279
-1.0,100,150.305561
-1.0,100,151.705439
-1.0,100,153.138871
1.0,24,153.236355
-1.0,100,154.849391
1.0,24,154.952673
-1.0,100,155.481972
1.0,10,156.784944
-1.0,100,157.379865
1.0,12,157.448166
1.0,36,158.637135
1.0,78,158.958006
-1.0,100,160.408117
-1.0,100,161.751528
1.0,41,161.920826
1.0,100,163.310384
1.0,49,163.520785
-1.0,100,164.955169
-1.0,100,166.372977
-1.0,100,167.843104
1.0,35,167.991124
-1.0,100,169.378031
1.0,81,169.709159
-1.0,100,171.136957
-1.0,100,172.529797
-1.0,100,173.894834
1.0,18,173.969847
1.0,66,174.25727
-1.0,100,175.720966
-1.0,100,177.090024
1.0,43,177.263261
1.0,11,177.307629
-1.0,100,178.70412
1.0,22,178.796843
-1.0,100,180.223147
-1.0,100,181.613144
-1.0,100,182.985807
-1.0,100,183.379576
-1.0,100,184.775114
-1.0,100,186.208385
-1.0,100,187.613893
1.0,19,187.696479
-1.0,100,189.145737
-1.0,100,190.518836
-1.0,100,190.953381
1.0,18,191.025141
-1.0,100,192.444695
1.0,19,192.520936
-1.0,100,193.959975
-1.0,100,195.340423
1.0,48,195.545845
1.0,76,196.894629
-1.0,100,198.268315
1.0,30,198.403685
-1.0,100,199.780563
1.0,40,199.961824
1.0,33,200.103665
1.0,97,201.520641
1.0,19,201.603581
-1.0,100,203.036319
1.0,45,203.230624
1.0,86,204.622442
-1.0,100,206.064815
1.0,31,206.206786
-1.0,100,207.592561
1.0,11,207.640094
-1.0,100,209.086888
-1.0,100,209.523253
-1.0,100,210.910817
-1.0,100,212.37566
-1.0,100,213.809661
-1.0,100,215.168866
1.0,60,215.43052
-1.0,100,216.896178
1.0,9,216.935434
1.0,95,218.344908
1.0,93,218.741439
-1.0,100,220.157583
-1.0,100,221.630933
1.0,57,221.886385
1.0,49,223.149887
1.0,38,223.320822
-1.0,100,224.77271
