#{"env_id": null, "t_start": 1550430349.0725207}
r,l,t
-1.0,100,4.72711
1.0,76,6.719613
-1.0,100,8.055543
-1.0,100,8.413892
-1.0,100,9.701127
1.0,12,9.744275
1.0,14,9.798324
1.0,48,10.912163
-1.0,100,12.113932
-1.0,100,12.442337
-1.0,100,13.650666
-1.0,100,14.884891
-1.0,100,16.169711
1.0,11,16.208975
-1.0,100,17.455806
-1.0,100,17.826781
-1.0,100,19.049765
-1.0,100,20.351368
-1.0,100,21.610165
1.0,65,21.833636
-1.0,100,23.196644
-1.0,100,24.597994
-1.0,100,25.91071
-1.0,100,26.300656
-1.0,100,27.528524
-1.0,100,28.753829
1.0,71,29.045727
-1.0,100,30.279912
1.0,25,30.368535
1.0,47,31.41437
-1.0,100,32.608639
-1.0,100,32.958283
-1.0,100,34.176611
1.0,33,34.292464
-1.0,100,35.498362
-1.0,100,36.843894
1.0,55,37.048716
1.0,19,37.994267
1.0,36,38.114079
-1.0,100,39.348445
-1.0,100,39.685651
-1.0,100,40.940439
-1.0,100,42.196867
1.0,97,43.466109
-1.0,100,43.823471
1.0,15,44.768091
-1.0,100,45.116472
1.0,23,46.088136
-1.0,100,46.427802
-1.0,100,47.693063
-1.0,100,48.886268
-1.0,100,50.120662
-1.0,100,50.436866
1.0,29,51.42814
1.0,12,51.468454
-1.0,100,52.704833
1.0,40,52.837669
-1.0,100,54.046449
1.0,29,54.147829
1.0,60,54.341345
-1.0,100,55.685738
-1.0,100,56.913888
-1.0,100,58.12014
1.0,51,58.293853
1.0,92,59.520213
1.0,38,59.646838
-1.0,100,60.971312
1.0,54,61.169116
-1.0,100,62.378923
-1.0,100,63.620609
-1.0,100,64.82788
1.0,20,64.901949
-1.0,100,66.121014
-1.0,100,66.460156
-1.0,100,67.668916
-1.0,100,68.873421
-1.0,100,70.1728
-1.0,100,70.505726
1.0,62,71.650331
-1.0,100,72.862321
-1.0,100,74.148713
1.0,24,74.225529
1.0,8,74.249098
1.0,89,74.54119
-1.0,100,75.743783
1.0,46,76.773944
-1.0,100,77.108511
-1.0,100,78.354889
-1.0,100,79.573817
1.0,9,79.603588
-1.0,100,80.815309
-1.0,100,81.983978
1.0,30,82.088697
-1.0,100,83.300493
1.0,14,83.350166
1.0,40,83.499196
1.0,23,83.588444
-1.0,100,84.901376
-1.0,100,86.185421
-1.0,100,87.684915
-1.0,100,88.054387
1.0,35,89.061397
-1.0,100,89.381587
-1.0,100,90.593645
1.0,20,90.65476
1.0,40,91.698655
1.0,75,91.953022
-1.0,100,93.176286
-1.0,100,94.409558
-1.0,100,95.622223
-1.0,100,95.95246
-1.0,100,97.166516
-1.0,100,98.400445
-1.0,100,99.636536
-1.0,100,99.958686
-1.0,100,101.241642
-1.0,100,102.501588
1.0,9,102.535315
-1.0,100,103.786147
-1.0,100,105.00017
-1.0,100,105.325433
-1.0,100,106.534349
-1.0,100,107.844782
-1.0,100,109.064348
-1.0,100,110.328856
1.0,26,110.41586
-1.0,100,111.701018
-1.0,100,112.011728
1.0,74,113.135835
-1.0,100,114.353726
-1.0,100,114.697782
-1.0,100,115.949149
-1.0,100,117.164214
-1.0,100,118.439524
-1.0,100,119.624731
1.0,62,119.829916
-1.0,100,121.24512
-1.0,100,122.467356
1.0,8,122.497859
-1.0,100,123.695445
-1.0,100,124.015155
-1.0,100,125.250031
-1.0,100,126.507716
1.0,90,127.825855
-1.0,100,128.166083
-1.0,100,129.355459
-1.0,100,130.766572
-1.0,100,132.19205
-1.0,100,132.555603
-1.0,100,133.883213
-1.0,100,135.241969
-1.0,100,136.430498
1.0,30,136.540214
-1.0,100,137.936738
-1.0,100,139.142664
-1.0,100,139.475937
-1.0,100,140.751769
-1.0,100,142.08276
-1.0,100,143.285844
1.0,41,143.434757
1.0,22,143.50801
-1.0,100,144.757036
1.0,42,144.901505
-1.0,100,146.127766
1.0,11,146.172178
-1.0,100,147.382095
-1.0,100,148.594914
-1.0,100,149.767169
1.0,60,149.984941
-1.0,100,151.23029
1.0,91,152.402631
-1.0,100,152.773099
-1.0,100,154.026331
-1.0,100,155.247879
-1.0,100,156.499809
-1.0,100,156.863197
-1.0,100,158.170631
-1.0,100,159.417701
-1.0,100,160.656266
-1.0,100,161.911116
-1.0,100,162.276489
-1.0,100,163.616233
-1.0,100,164.93418
-1.0,100,166.147713
-1.0,100,166.47305
-1.0,100,167.74607
1.0,56,168.932397
1.0,15,168.982057
1.0,73,169.227063
-1.0,100,170.455328
1.0,95,171.782208
-1.0,100,173.111739
-1.0,100,173.441407
-1.0,100,174.714356
-1.0,100,175.931474
-1.0,100,177.122929
1.0,91,177.440161
-1.0,100,178.700479
1.0,89,179.865603
-1.0,100,181.169687
-1.0,100,182.402192
-1.0,100,182.739849
-1.0,100,183.947201
-1.0,100,185.202494
1.0,46,185.355507
-1.0,100,186.605229
-1.0,100,187.921615
-1.0,100,189.192444
-1.0,100,189.49614
-1.0,100,190.710931
-1.0,100,192.02167
-1.0,100,193.208159
-1.0,100,193.517461
-1.0,100,194.731308
1.0,17,194.789634
1.0,77,195.96082
-1.0,100,197.207709
1.0,74,197.434565
-1.0,100,198.701796
-1.0,100,199.924534
1.0,47,200.069547
1.0,43,201.111072
-1.0,100,201.430193
1.0,44,202.451125
