#{"t_start": 1550437463.49088, "env_id": null}
r,l,t
-1.0,100,5.586988
1.0,37,8.101057
-1.0,100,8.53961
-1.0,100,9.957535
1.0,48,11.212155
1.0,88,11.590472
-1.0,100,12.989573
-1.0,100,14.334569
-1.0,100,15.702649
-1.0,100,16.14485
-1.0,100,17.500336
-1.0,100,18.847369
-1.0,100,20.344885
-1.0,100,20.770242
-1.0,100,22.240081
-1.0,100,23.569607
1.0,99,25.094968
-1.0,100,26.540613
-1.0,100,26.926733
1.0,32,28.036467
-1.0,100,28.462009
1.0,7,28.492829
-1.0,100,29.917762
-1.0,100,31.316351
1.0,19,31.39288
-1.0,100,32.873008
-1.0,100,34.314147
-1.0,100,34.732743
-1.0,100,36.274742
-1.0,100,37.628711
-1.0,100,39.046875
-1.0,100,40.381431
-1.0,100,40.811992
-1.0,100,42.188565
-1.0,100,43.599515
-1.0,100,44.943648
-1.0,100,46.408001
-1.0,100,46.831855
-1.0,100,48.35026
-1.0,100,49.787846
-1.0,100,51.260243
-1.0,100,51.658482
-1.0,100,52.991334
-1.0,100,54.368701
-1.0,100,55.776238
-1.0,100,57.137724
-1.0,100,57.539936
-1.0,100,58.87208
1.0,7,58.907615
-1.0,100,60.304088
-1.0,100,61.746545
-1.0,100,63.188729
-1.0,100,63.569952
-1.0,100,64.986979
1.0,63,66.31541
-1.0,100,66.741277
-1.0,100,68.160389
-1.0,100,69.577389
1.0,9,69.61354
-1.0,100,71.025919
-1.0,100,72.484643
1.0,59,72.730373
1.0,7,72.763084
-1.0,100,74.228489
1.0,30,74.347359
-1.0,100,75.761494
-1.0,100,77.223077
-1.0,100,77.64314
1.0,79,79.127834
-1.0,100,80.519253
-1.0,100,81.942173
-1.0,100,82.383392
-1.0,100,83.806093
-1.0,100,85.342296
-1.0,100,86.766177
-1.0,100,87.174009
1.0,79,88.516984
-1.0,100,89.941182
1.0,28,90.057108
-1.0,100,91.504481
-1.0,100,92.812295
-1.0,100,93.241641
-1.0,100,94.6209
-1.0,100,96.108363
-1.0,100,97.534142
-1.0,100,98.945773
-1.0,100,99.327202
1.0,52,100.518708
-1.0,100,101.873287
1.0,69,102.178626
-1.0,100,103.67621
-1.0,100,105.10118
-1.0,100,105.486832
1.0,20,106.570342
-1.0,100,106.98894
-1.0,100,108.43058
-1.0,100,109.872509
1.0,77,111.318048
-1.0,100,111.73118
-1.0,100,113.111781
-1.0,100,114.588387
-1.0,100,116.075366
1.0,63,116.326233
-1.0,100,117.754108
1.0,73,119.050493
-1.0,100,119.480289
-1.0,100,120.896747
1.0,63,122.068403
-1.0,100,122.510327
-1.0,100,124.012122
1.0,12,124.055286
-1.0,100,125.511604
1.0,17,125.587093
-1.0,100,126.969896
-1.0,100,128.386909
1.0,72,128.666966
1.0,69,129.951769
1.0,75,130.261175
1.0,76,131.665015
1.0,90,133.055017
1.0,48,133.272585
-1.0,100,134.698389
1.0,10,134.734301
-1.0,100,136.216354
1.0,97,136.630397
1.0,4,136.646044
1.0,13,137.705479
1.0,8,137.740246
-1.0,100,138.135791
-1.0,100,139.623472
-1.0,100,141.074973
-1.0,100,142.437377
1.0,11,142.483809
1.0,42,142.655882
-1.0,100,144.180719
1.0,41,144.350807
1.0,19,144.439811
1.0,94,145.745622
1.0,17,145.812614
-1.0,100,147.178313
1.0,19,147.257415
1.0,18,147.332048
-1.0,100,148.818566
-1.0,100,150.249968
-1.0,100,151.705832
1.0,59,151.9476
-1.0,100,153.438411
1.0,15,153.514982
-1.0,100,154.885104
-1.0,100,156.203782
-1.0,100,156.606101
-1.0,100,158.020139
1.0,93,159.336862
-1.0,100,160.735829
-1.0,100,161.139264
1.0,16,162.225056
-1.0,100,162.630124
-1.0,100,164.044243
1.0,13,164.098762
1.0,8,164.131223
-1.0,100,165.456851
1.0,98,166.890894
1.0,20,166.962149
-1.0,100,168.287301
1.0,78,168.62754
1.0,36,169.848273
1.0,39,169.994266
-1.0,100,171.46371
-1.0,100,172.944135
-1.0,100,173.353065
-1.0,100,174.714324
-1.0,100,176.125106
-1.0,100,177.520054
1.0,36,177.673308
-1.0,100,179.072955
1.0,52,179.264542
-1.0,100,180.630191
-1.0,100,182.057864
-1.0,100,183.43814
1.0,9,183.486638
1.0,86,183.835883
1.0,13,183.886568
1.0,7,183.91762
-1.0,100,185.359446
-1.0,100,186.765672
-1.0,100,188.120097
-1.0,100,189.495689
1.0,18,189.568865
-1.0,100,189.973327
-1.0,100,191.321754
-1.0,100,192.706587
-1.0,100,194.06892
-1.0,100,195.468658
1.0,73,195.773579
1.0,44,196.923547
-1.0,100,197.322346
-1.0,100,198.769349
1.0,6,198.795159
1.0,48,199.011804
1.0,7,200.170355
1.0,27,200.295342
-1.0,100,201.708749
-1.0,100,202.118272
-1.0,100,203.626942
-1.0,100,205.048566
-1.0,100,206.378388
1.0,34,206.513449
1.0,67,206.817721
1.0,49,208.145581
1.0,64,208.411045
1.0,36,209.493128
1.0,34,209.662204
1.0,68,209.929779
1.0,63,211.258419
-1.0,100,212.686403
