#{"t_start": 1550430291.5436232, "env_id": null}
r,l,t
-1.0,100,6.119675
-1.0,100,8.321741
-1.0,100,9.523954
-1.0,100,10.837694
1.0,56,11.045365
1.0,16,11.110255
-1.0,100,12.514509
1.0,53,12.720845
-1.0,100,14.076207
1.0,96,15.440861
-1.0,100,16.6522
-1.0,100,17.01084
1.0,42,18.126589
-1.0,100,19.390573
-1.0,100,19.737442
-1.0,100,20.995127
-1.0,100,22.214381
1.0,80,23.423096
-1.0,100,23.760464
-1.0,100,25.030927
1.0,16,25.087766
-1.0,100,26.609751
-1.0,100,27.866978
-1.0,100,29.048675
-1.0,100,29.3661
1.0,56,30.368215
-1.0,100,31.585922
-1.0,100,31.930615
1.0,21,32.938071
1.0,86,33.24088
1.0,91,34.815205
-1.0,100,35.980548
-1.0,100,36.336462
-1.0,100,37.560419
1.0,17,37.617884
-1.0,100,38.800604
-1.0,100,40.004302
-1.0,100,41.190139
1.0,20,41.2593
-1.0,100,42.457637
-1.0,100,42.780047
-1.0,100,43.978971
1.0,100,45.264385
-1.0,100,46.532697
-1.0,100,47.784796
-1.0,100,48.114841
-1.0,100,49.339654
-1.0,100,50.620005
-1.0,100,51.885667
-1.0,100,52.209837
1.0,55,53.299066
-1.0,100,54.446917
1.0,20,54.511096
-1.0,100,55.706025
-1.0,100,56.027501
1.0,95,57.249286
-1.0,100,58.77089
-1.0,100,60.03636
-1.0,100,60.390506
-1.0,100,61.558514
-1.0,100,62.814002
-1.0,100,64.024625
-1.0,100,65.225064
-1.0,100,65.570749
-1.0,100,66.832472
1.0,12,66.874507
1.0,8,66.903864
1.0,30,67.863973
1.0,17,67.919397
-1.0,100,68.243214
1.0,14,69.253355
-1.0,100,69.580242
-1.0,100,70.76798
-1.0,100,72.024568
-1.0,100,73.285027
1.0,46,73.443878
1.0,54,74.465942
-1.0,100,74.815502
-1.0,100,76.074452
1.0,41,76.211623
1.0,93,77.455009
1.0,22,77.532211
-1.0,100,78.787057
-1.0,100,80.000496
1.0,47,80.147534
-1.0,100,81.314655
1.0,41,81.438868
1.0,94,82.617304
-1.0,100,83.780982
1.0,23,83.863688
1.0,19,83.931253
1.0,88,85.153725
-1.0,100,86.371259
1.0,44,86.525832
1.0,76,87.640094
-1.0,100,87.982528
1.0,57,89.100092
1.0,16,89.154964
-1.0,100,90.407979
-1.0,100,90.7326
1.0,46,91.748937
-1.0,100,93.034695
-1.0,100,93.356298
1.0,87,94.493049
-1.0,100,95.849935
1.0,32,95.970008
-1.0,100,97.163255
1.0,15,97.216837
1.0,43,97.365574
1.0,80,98.55271
1.0,6,98.577031
1.0,17,98.6419
1.0,88,99.862568
1.0,27,99.959441
-1.0,100,101.168736
1.0,40,101.300181
-1.0,100,102.56822
1.0,19,102.634796
1.0,22,102.70829
-1.0,100,104.061217
-1.0,100,105.309491
1.0,14,105.365361
-1.0,100,106.628534
-1.0,100,106.957235
-1.0,100,108.199776
1.0,42,109.241349
1.0,77,109.508428
-1.0,100,110.820726
-1.0,100,112.120944
1.0,57,112.292713
1.0,17,112.345104
1.0,20,112.408211
-1.0,100,113.636011
-1.0,100,114.824938
-1.0,100,116.098226
1.0,21,116.176267
1.0,6,116.197661
1.0,58,116.374491
-1.0,100,117.610575
1.0,36,118.64232
-1.0,100,118.952234
1.0,98,120.194032
-1.0,100,121.489459
-1.0,100,122.700407
1.0,22,122.775964
-1.0,100,123.985645
-1.0,100,124.325031
-1.0,100,125.533584
-1.0,100,126.808873
-1.0,100,127.999278
-1.0,100,129.241184
-1.0,100,129.600826
1.0,48,130.61618
1.0,28,130.717111
1.0,22,130.80136
-1.0,100,132.134121
1.0,76,132.415927
-1.0,100,133.653558
1.0,24,133.736236
1.0,46,134.783909
-1.0,100,136.004012
1.0,12,136.046634
1.0,53,136.24141
1.0,97,137.504531
1.0,43,137.683314
-1.0,100,138.942651
1.0,24,139.028192
1.0,35,139.16058
1.0,63,140.221897
-1.0,100,141.4574
1.0,17,141.519862
1.0,74,141.770809
1.0,88,142.918197
-1.0,100,144.356612
-1.0,100,145.643534
1.0,20,145.716274
-1.0,100,146.972904
-1.0,100,147.334004
-1.0,100,148.671886
-1.0,100,149.886445
1.0,29,149.981927
1.0,92,151.219675
-1.0,100,152.472269
-1.0,100,152.809103
1.0,97,154.008385
-1.0,100,155.258125
-1.0,100,156.498313
-1.0,100,157.747297
1.0,17,157.801951
1.0,79,158.059077
1.0,90,159.211619
-1.0,100,160.496636
1.0,23,160.57612
1.0,61,160.77453
1.0,62,161.873756
1.0,38,162.005105
-1.0,100,163.229764
1.0,18,163.29167
-1.0,100,164.596377
1.0,41,164.728389
1.0,59,165.80976
1.0,33,165.917958
1.0,26,165.998884
-1.0,100,167.274568
1.0,68,167.489214
1.0,50,168.584861
1.0,7,168.609674
1.0,6,168.631758
-1.0,100,169.903307
1.0,70,170.138072
1.0,43,171.170904
1.0,12,171.210501
-1.0,100,171.542223
1.0,58,172.700299
1.0,20,172.762945
1.0,27,172.846279
1.0,7,172.869085
-1.0,100,174.231163
1.0,36,174.341983
1.0,21,175.323183
1.0,68,175.550203
-1.0,100,176.777577
1.0,27,176.868229
1.0,51,177.904994
1.0,73,178.164004
-1.0,100,179.362015
1.0,41,179.494538
-1.0,100,180.686928
-1.0,100,181.950983
-1.0,100,183.144531
-1.0,100,183.484396
1.0,30,184.446483
1.0,23,184.530734
1.0,12,184.575063
1.0,5,184.593696
1.0,6,184.614292
1.0,22,184.691017
1.0,14,184.734953
1.0,33,184.839559
-1.0,100,186.087919
1.0,41,187.086035
-1.0,100,187.415182
1.0,62,188.505959
-1.0,100,189.738973
1.0,16,189.795088
1.0,13,189.840551
1.0,19,189.918146
-1.0,100,191.186486
1.0,52,191.367337
-1.0,100,192.636147
-1.0,100,193.848609
-1.0,100,194.190972
1.0,7,195.06314
-1.0,100,195.382394
1.0,51,196.470067
1.0,32,196.582234
1.0,43,196.731128
1.0,27,197.69913
-1.0,100,198.025832
1.0,36,199.089554
1.0,30,199.185194
1.0,58,199.373066
1.0,17,199.431671
1.0,79,200.654197
1.0,9,200.697158
-1.0,100,201.953439
1.0,27,202.041262
1.0,77,203.163657
1.0,74,203.395821
1.0,41,204.376981
-1.0,100,204.718325
-1.0,100,206.000966
-1.0,100,207.330687
1.0,14,207.383242
1.0,90,208.62169
1.0,27,208.714178
-1.0,100,210.023741
1.0,50,210.203904
-1.0,100,211.419336
-1.0,100,212.696468
-1.0,100,213.069968
-1.0,100,214.286682
1.0,13,214.332125
1.0,13,214.382277
-1.0,100,215.65129
-1.0,100,216.915984
1.0,68,218.028619
1.0,45,218.185117
1.0,30,218.292987
1.0,33,218.409353
-1.0,100,219.658702
-1.0,100,220.853349
-1.0,100,222.054909
-1.0,100,223.272719
-1.0,100,223.605151
-1.0,100,224.783016
-1.0,100,226.024636
-1.0,100,227.240369
1.0,63,227.441562
1.0,42,227.576791
1.0,76,228.683073
1.0,56,228.865427
-1.0,100,230.162009
1.0,31,231.242606
1.0,33,231.346666
1.0,21,231.412241
-1.0,100,232.690826
1.0,18,232.747718
-1.0,100,233.954286
1.0,34,234.067131
1.0,52,234.233942
1.0,97,235.429102
-1.0,100,236.648287
-1.0,100,237.896055
-1.0,100,238.209225
1.0,64,239.393203
1.0,28,239.482385
1.0,37,239.602762
1.0,71,240.729211
1.0,22,240.798166
1.0,17,240.855326
-1.0,100,242.05076
1.0,37,242.181425
1.0,71,243.424026
1.0,27,243.513747
-1.0,100,244.751121
1.0,93,245.997636
-1.0,100,246.320552
-1.0,100,247.514461
1.0,16,247.568765
1.0,48,248.632003
1.0,36,248.760009
-1.0,100,250.081823
-1.0,100,251.357816
-1.0,100,251.729536
1.0,79,253.043554
-1.0,100,254.288052
1.0,73,254.536294
1.0,31,255.470202
-1.0,100,255.807611
-1.0,100,257.061563
-1.0,100,258.247095
1.0,39,258.376705
-1.0,100,259.606304
1.0,9,259.64262
-1.0,100,260.866116
-1.0,100,262.069167
-1.0,100,262.381117
1.0,87,263.529632
1.0,42,263.665061
1.0,39,264.701417
1.0,60,264.890892
-1.0,100,266.153113
1.0,47,266.295267
1.0,26,267.259939
1.0,28,267.359046
-1.0,100,268.577811
1.0,28,268.666995
-1.0,100,269.865779
-1.0,100,270.17901
1.0,20,270.244534
-1.0,100,271.484375
1.0,71,272.590966
1.0,46,272.752105
1.0,23,272.828832
1.0,78,273.990324
-1.0,100,275.218681
-1.0,100,275.550428
-1.0,100,276.792081
1.0,34,277.774719
1.0,36,277.894962
1.0,38,278.031283
-1.0,100,279.371133
1.0,48,279.545214
-1.0,100,280.788314
-1.0,100,282.091703
1.0,11,282.136408
-1.0,100,283.351049
1.0,37,283.477022
-1.0,100,284.652872
1.0,90,284.967156
1.0,83,286.106499
1.0,21,286.178756
1.0,13,286.224645
1.0,41,287.271974
1.0,14,287.315732
-1.0,100,288.54265
-1.0,100,288.870332
1.0,15,288.925848
1.0,100,290.160872
1.0,100,291.323481
1.0,36,291.441869
-1.0,100,292.648488
-1.0,100,293.837693
1.0,8,293.864084
1.0,10,293.895655
1.0,77,295.020061
-1.0,100,295.338437
-1.0,100,296.508368
-1.0,100,297.729383
-1.0,100,298.971114
1.0,16,299.024138
-1.0,100,300.300636
-1.0,100,300.627401
1.0,51,301.730577
1.0,31,301.840765
-1.0,100,303.051185
1.0,49,303.221269
1.0,83,304.436735
1.0,26,304.533107
1.0,28,304.629573
1.0,16,304.680464
1.0,73,305.835806
1.0,43,305.976789
-1.0,100,307.190995
-1.0,100,308.474895
-1.0,100,309.709085
1.0,15,309.771518
1.0,56,309.974091
1.0,92,311.152528
1.0,36,311.283606
1.0,26,311.372124
-1.0,100,312.540762
1.0,63,313.650785
-1.0,100,314.871354
-1.0,100,315.184525
-1.0,100,316.426478
1.0,22,316.496134
1.0,98,317.698871
1.0,11,317.735144
-1.0,100,318.917239
1.0,39,319.038621
1.0,25,319.118612
1.0,33,320.128025
-1.0,100,320.456143
-1.0,100,321.705943
-1.0,100,322.932043
1.0,32,323.035008
1.0,12,323.075672
1.0,71,324.191388
-1.0,100,325.486629
1.0,23,325.586569
1.0,78,325.845023
1.0,39,326.941104
1.0,41,327.066679
1.0,30,327.161226
1.0,76,328.250286
-1.0,100,329.429447
1.0,12,329.471435
1.0,63,329.689987
1.0,39,330.735128
1.0,36,330.855407
1.0,16,330.911457
1.0,8,330.936457
1.0,38,331.06715
1.0,25,332.019961
1.0,71,332.260858
1.0,43,332.404575
-1.0,100,333.71044
1.0,18,333.773866
1.0,7,333.796719
-1.0,100,335.035476
1.0,63,336.138587
1.0,9,336.17025
1.0,40,336.30427
1.0,40,336.438454
1.0,73,337.614972
-1.0,100,338.853546
1.0,82,339.124065
1.0,28,340.111087
1.0,22,340.179789
1.0,91,340.461189
-1.0,100,341.639533
1.0,21,341.70581
-1.0,100,342.890829
1.0,60,343.936802
1.0,73,344.174886
1.0,41,345.209814
1.0,70,345.443715
1.0,34,345.549573
1.0,38,346.581016
1.0,23,346.655848
-1.0,100,347.862042
1.0,28,347.956378
1.0,36,348.069302
1.0,86,349.196036
1.0,59,349.392275
-1.0,100,350.616464
1.0,77,351.738195
1.0,63,351.938031
-1.0,100,353.170409
1.0,85,354.353741
1.0,47,354.516998
1.0,25,354.596282
1.0,34,354.703613
1.0,78,355.84567
1.0,72,356.97932
1.0,75,357.231725
1.0,96,358.493913
1.0,7,358.516226
1.0,61,358.715006
1.0,93,359.909037
1.0,98,361.139822
1.0,18,361.199343
1.0,21,361.269088
1.0,23,361.342238
1.0,58,362.400307
1.0,30,362.492041
1.0,82,363.64213
1.0,30,363.740033
1.0,23,363.812194
-1.0,100,365.015996
1.0,13,365.059549
1.0,57,365.241011
1.0,44,366.252797
1.0,39,366.387301
1.0,13,366.434734
1.0,39,367.425813
1.0,47,367.576005
-1.0,100,368.789426
1.0,61,369.009869
1.0,80,370.116234
1.0,64,370.328784
1.0,17,370.383908
1.0,11,371.352176
1.0,20,371.42277
1.0,50,371.585964
-1.0,100,372.850406
1.0,38,372.96882
1.0,69,374.047647
-1.0,100,374.370985
1.0,11,375.3271
1.0,8,375.359966
1.0,28,375.456032
1.0,14,375.504375
1.0,4,375.519495
1.0,42,375.655979
1.0,42,376.69322
1.0,23,376.764782
1.0,48,376.9216
1.0,49,377.948476
1.0,10,377.981948
1.0,39,378.113547
1.0,95,379.315382
1.0,26,379.40434
1.0,61,379.596261
1.0,24,380.57002
1.0,31,380.671472
1.0,73,380.911765
1.0,50,381.963113
-1.0,100,383.236365
-1.0,100,383.539904
1.0,28,384.51498
1.0,22,384.583767
-1.0,100,384.8952
-1.0,100,386.094482
1.0,10,386.127337
1.0,69,387.203207
1.0,21,387.271519
1.0,13,387.313127
1.0,42,387.444715
1.0,29,388.422473
1.0,62,388.622863
1.0,66,389.814117
1.0,13,389.863267
1.0,19,389.929799
1.0,23,390.004526
1.0,87,391.239682
1.0,24,391.3175
1.0,18,391.379846
1.0,55,392.439213
1.0,40,392.581881
1.0,12,392.623598
1.0,55,392.823919
1.0,13,393.782906
1.0,16,393.844899
1.0,44,394.008231
1.0,13,394.062524
-1.0,100,395.287138
1.0,14,395.336281
1.0,29,395.43796
1.0,52,396.528546
1.0,20,396.599108
1.0,18,396.659207
1.0,70,396.89039
1.0,12,397.858407
1.0,29,397.954242
1.0,64,398.170224
1.0,27,398.263974
1.0,92,399.49165
1.0,35,399.61178
1.0,16,400.532579
1.0,11,400.567379
-1.0,100,400.907498
1.0,24,401.86127
1.0,16,401.912643
-1.0,100,403.110928
1.0,44,403.245773
1.0,50,403.395757
1.0,26,404.360569
1.0,70,404.59675
1.0,96,405.8748
1.0,31,405.969227
1.0,22,406.035509
1.0,52,407.077325
1.0,51,407.252643
1.0,27,407.33502
1.0,99,408.543353
1.0,22,408.616521
1.0,20,408.686453
1.0,26,409.687654
1.0,9,409.721949
1.0,34,409.845197
-1.0,100,411.072326
1.0,16,411.128264
1.0,66,411.360029
1.0,32,412.319093
1.0,27,412.414498
1.0,10,412.449872
1.0,32,412.564048
1.0,22,412.64328
1.0,75,413.759657
1.0,98,414.979328
1.0,37,415.115845
1.0,20,415.191513
1.0,24,415.275551
1.0,35,416.289426
1.0,52,416.465837
1.0,8,416.493289
1.0,28,416.591973
1.0,28,416.690386
-1.0,100,417.894717
1.0,63,418.976303
1.0,14,419.025368
1.0,62,419.237494
1.0,25,419.327939
1.0,26,420.354581
1.0,59,420.552999
1.0,55,421.599
1.0,29,421.704333
-1.0,100,422.917291
1.0,17,422.972281
1.0,18,423.033907
1.0,22,423.104788
1.0,41,423.24118
1.0,11,423.282414
1.0,58,424.412781
1.0,19,424.475615
1.0,84,425.634161
1.0,61,425.84643
1.0,26,425.931599
1.0,37,426.893374
1.0,35,427.010188
1.0,27,427.107771
1.0,32,427.216346
1.0,96,428.43208
1.0,29,428.530683
1.0,14,428.575702
1.0,73,429.695598
1.0,20,429.766138
1.0,48,431.017906
1.0,31,431.126732
1.0,55,431.325121
1.0,60,432.449928
1.0,86,432.766453
1.0,45,433.783071
1.0,48,433.965573
1.0,33,434.084005
1.0,38,435.052828
1.0,25,435.14449
1.0,65,435.377796
1.0,86,436.668856
1.0,64,437.76322
-1.0,100,438.137253
1.0,51,439.199747
1.0,27,439.287495
1.0,78,440.449112
1.0,21,440.51675
-1.0,100,440.875906
1.0,32,441.894294
1.0,9,441.922361
1.0,23,442.000043
1.0,5,442.017027
1.0,23,442.09479
1.0,26,442.184426
1.0,33,443.199826
1.0,61,443.406444
1.0,22,443.492002
-1.0,100,444.774899
1.0,47,444.933845
1.0,32,445.924757
