#{"env_id": null, "t_start": 1550437345.9635682}
r,l,t
-1.0,100,6.16662
-1.0,100,8.577549
1.0,85,9.876717
-1.0,100,11.275664
1.0,70,11.53373
1.0,6,11.559855
-1.0,100,12.940374
-1.0,100,14.3709
1.0,31,14.50122
-1.0,100,15.861055
-1.0,100,16.248053
1.0,93,17.691875
1.0,78,19.056002
-1.0,100,20.479091
-1.0,100,20.877892
-1.0,100,22.204758
-1.0,100,23.758871
-1.0,100,25.13918
1.0,56,25.358534
1.0,31,25.493305
-1.0,100,27.075654
1.0,19,27.153683
-1.0,100,28.712923
-1.0,100,30.084024
-1.0,100,31.469168
-1.0,100,31.868911
-1.0,100,33.290397
-1.0,100,34.784963
-1.0,100,36.189338
1.0,62,36.445123
-1.0,100,37.882288
1.0,27,37.994597
1.0,12,38.045452
-1.0,100,39.4407
-1.0,100,40.790147
-1.0,100,42.208234
1.0,32,42.350561
-1.0,100,43.752874
-1.0,100,45.163063
-1.0,100,45.577236
-1.0,100,47.013917
-1.0,100,48.439881
-1.0,100,49.864802
1.0,88,50.228238
-1.0,100,51.673653
1.0,7,51.707551
1.0,40,51.860153
-1.0,100,53.3062
1.0,12,53.354923
1.0,64,54.552648
1.0,88,55.992115
-1.0,100,56.417014
1.0,54,57.73529
-1.0,100,59.069087
-1.0,100,59.459264
-1.0,100,60.811562
-1.0,100,62.215971
-1.0,100,63.586511
1.0,41,63.76679
-1.0,100,65.261502
1.0,56,65.483747
-1.0,100,66.949203
-1.0,100,68.347507
-1.0,100,69.67885
1.0,44,69.878167
1.0,30,69.9924
-1.0,100,71.405645
1.0,30,71.526027
-1.0,100,72.998295
1.0,9,73.034942
-1.0,100,74.490398
-1.0,100,75.882281
1.0,33,76.016029
-1.0,100,77.390806
-1.0,100,77.828135
1.0,48,79.061739
-1.0,100,80.513502
1.0,63,80.742695
-1.0,100,82.138217
1.0,27,82.251305
1.0,75,83.574565
1.0,70,83.856478
1.0,8,83.889227
-1.0,100,85.43921
-1.0,100,86.835659
1.0,56,87.058188
-1.0,100,88.375679
1.0,45,88.579063
1.0,4,88.600008
-1.0,100,89.96116
-1.0,100,91.327912
